Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
East Tennessee State University/Quillen College of Medicine Program,0.54,0.09,0.16,0.13,0.1,0.03,Johnson City,TN,East South Central
Eastern Connecticut Health Network Program,0.75,0.09,0.2,0.06,0.04,0.1,Manchester,CT,New England
Eastern Maine Medical Center Program,0.81,0.16,0.33,0.23,0.08,0.08,Bangor,ME,New England
Eastern Virginia Medical School Program,0.44,0.06,0.15,0.06,0.02,0,Norfolk,VA,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.66,0.09,0.25,0.1,0.03,0.02,Greenville,NC,South Atlantic
El Rio Health Program,-,-,-,-,-,-,Tucson,AZ,Mountain
Emory University School of Medicine Program,0.36,0.13,0.2,0.02,0,0.03,Atlanta,GA,South Atlantic
Family Health Centers at NYU Langone Program,0.2,0.04,0.14,0.01,0,0,Brooklyn,NY,Middle Atlantic
Family Health Centers of San Diego Program,0.39,0.1,0.17,0.18,0.05,0.13,San Diego,CA,Pacific
Florida Atlantic University Charles E. Schmidt College of Medicine Program,0.45,0.03,0.15,0.02,0.01,0,Boca Raton,FL,South Atlantic
Florida State University College of Medicine Program,-,-,-,-,-,-,Tallahassee,FL,South Atlantic
Garnet Health Medical Center Program,0.4,0.1,0.22,0.17,0.09,0,MIDDLETOWN,NY,Middle Atlantic
Gateway Behavioral Health Community Service Board Program,0.74,0.05,0.12,0.09,0,0,Savannah,GA,South Atlantic
Geisinger Health System Program,-,-,-,-,-,-,Wilkes Barre,PA,Middle Atlantic
George Washington University Program,-,-,-,-,-,-,Washington,DC,South Atlantic
Good Samaritan University Hospital Program,-,-,-,-,-,-,Smithtown,NY,Middle Atlantic
Harlem Hospital Center Program,0.02,0.04,0.01,0,0.05,0.05,New York,NY,Middle Atlantic
HCA Florida Healthcare/Aventura Hospital Program,0.59,0.02,0.17,0.08,0.01,0.02,Aventura,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,-,-,-,-,-,-,Largo,FL,South Atlantic
HCA Florida Healthcare/Woodmont Hospital Program,-,-,-,-,-,-,Tamarac,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.22,0.06,0.1,0.1,0.02,0.03,Orange Park,FL,South Atlantic
HCA Healthcare LewisGale Medical Center Program,0.57,0.13,0.21,0.26,0.01,0,Salem,VA,South Atlantic
HCA Healthcare Sunrise Health GME/Southern Hills Program,0.5,0.02,0.05,0.07,0.01,0,Las Vegas,NV,Mountain
HCA Healthcare/Eastern Idaho Regional Medical Center Program,-,-,-,-,-,-,Idaho Falls,ID,Mountain
HCA Healthcare/TriStar Nashville/Centennial Medical Center Program,0.37,0.17,0.39,0.07,0.03,0,Nashville,TN,East South Central
HCA Healthcare/Tufts University School of Medicine: Portsmouth Regional Hospital Program,-,-,-,-,-,-,Portsmouth,NH,New England
HCA HealthONE/The Medical Center of Aurora Program,0.4,0.08,0.13,0.1,0,0,Aurora,CO,Mountain
"Healthy Rural California, Inc. Program",0.31,0.08,0.22,0.14,0.03,0,Chico,CA,Pacific
Hennepin Healthcare/Regions Hospital Program,-,-,-,-,-,-,Minneapolis,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.59,0.02,0.15,0.03,0,0,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Jackson Hospital Program,0.66,0.09,0.24,0.18,0.05,0.01,Jackson,MI,East North Central
Howard University Program,0.6,0.07,0.17,0.08,0.01,0.01,Washington,DC,South Atlantic
Icahn School of Medicine at Mount Sinai Program,-,-,-,-,-,-,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Beth Israel Program,0.25,0.1,0.18,0.05,0.01,0.03,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Morningside/West Program,0.24,0.06,0.13,0.06,0,0.03,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,0.29,0.08,0.18,0,0,0.03,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/NYC Health and Hospitals (Elmhurst) Program,0.11,0.13,0.08,0.01,0.09,0.3,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/NYC Health and Hospitals (Queens) Program,-,-,-,-,-,-,Jamaica,NY,Middle Atlantic
Indiana University School of Medicine (Indianapolis) Program,0.97,0.12,0.22,0.13,0.02,0.06,Indianapolis,IN,East North Central
Indiana University School of Medicine (Merrillville) Program,0.94,0.11,0.31,0.16,0.03,0,Merrillville,IN,East North Central
Indiana University School of Medicine (Vincennes) Program,0.81,0.09,0.17,0.16,0.07,0.01,Vincennes,IN,East North Central
Inspira Health Network/Inspira Medical Center Vineland Program,0.33,0.07,0.01,0.23,0,0,Vineland,NJ,Middle Atlantic
Institute of Living/Hartford Hospital Program,-,-,-,-,-,-,Hartford,CT,New England
Jamaica Hospital Medical Center Program,0.42,0.05,0.19,0.11,0.06,0.02,Jamaica,NY,Middle Atlantic
Jersey Shore University Medical Center Program,0.67,0.07,0.19,0.12,0.04,0.03,Neptune,NJ,Middle Atlantic
John Peter Smith Hospital (Tarrant County Hospital District) Program,0.43,0.05,0.24,0.08,0,0,Fort Worth,TX,West South Central
Johns Hopkins University Program,0.89,0.09,0.14,0,0.01,0,Baltimore,MD,South Atlantic
Kaiser Permanente Northern California (Oakland) Program,0.23,0.06,0.15,0.03,0,0,Oakland,CA,Pacific
Kaiser Permanente Northern California (San Jose) Program,0.22,0.1,0.19,0.05,0.01,0,San Jose,CA,Pacific
Kaiser Permanente Southern California Program,0.25,0.05,0.11,0.07,0.01,0,Fontana,CA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium)/Ozark Center Program,0.26,0.03,0.03,0.1,0.03,0,Joplin,MO,West North Central
Kaweah Delta Health Care District (KDHCD) Program,0.25,0.09,0.22,0.13,0.06,0.02,Visalia,CA,Pacific
Kirk Kerkorian School of Medicine at UNLV Program,0.86,0.06,0.08,0.13,0.01,0,Las Vegas,NV,Mountain
Lahey Clinic Program,-,-,-,-,-,-,Burlington,MA,New England
Lake Erie College of Osteopathic Medicine Program,-,-,-,-,-,-,Erie,PA,Middle Atlantic
Lakeland Regional Health Program,0.4,0.05,0.15,0.1,0.04,0,Lakeland,FL,South Atlantic
Larkin Community Hospital Program,0.09,0.12,0.11,0.08,0.2,0.05,South Miami,FL,South Atlantic
Lehigh Valley Health Network Program,-,-,-,-,-,-,Allentown,PA,Middle Atlantic
Lincoln Medical and Mental Health Center Program,0.05,0.06,0.02,0.02,0.06,0.11,Bronx,NY,Middle Atlantic
Loma Linda University Health Education Consortium Program,0.38,0.1,0.19,0.15,0,0.04,Redlands,CA,Pacific
Loretto Hospital Program,-,-,-,-,-,-,Chicago,IL,East North Central
Los Angeles County-Harbor-UCLA Medical Center Program,0.33,0.08,0.17,0,0.01,0,Torrance,CA,Pacific
Louisiana State University (Shreveport) Program,0.72,0.06,0.1,0.09,0.09,0.04,Shreveport,LA,West South Central
Louisiana State University School of Medicine (Baton Rouge) Program,0.71,0.11,0.26,0.11,0.01,0,Baton Rouge,LA,West South Central
Louisiana State University School of Medicine/Ochsner Clinic Foundation Program,0.71,0.04,0.12,0.05,0.03,0,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.39,0.06,0.11,0.11,0.02,0.03,Maywood,IL,East North Central
Maimonides Medical Center Program,0.2,0.06,0.07,0.1,0.06,0.08,Brooklyn,NY,Middle Atlantic
MaineHealth Program,0.25,0.06,0.12,0.05,0.01,0.01,Portland,ME,New England
MaineHealth Program A,-,-,-,-,-,-,Portland,ME,New England
Marshall Community Health Consortium Program,-,-,-,-,-,-,Point Pleasant,WV,South Atlantic
Marshall University School of Medicine Program,-,-,-,-,-,-,Huntington,WV,South Atlantic
Mass General Brigham/Brigham and Women's Hospital/Harvard Medical School Program,0.28,0.12,0.16,0.01,0,0.02,Boston,MA,New England
Mass General Brigham/Massachusetts General Hospital/McLean Hospital Program,0.37,0.08,0.13,0,0,0.01,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Rochester) Program,0.73,0.1,0.19,0.05,0.05,0.04,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,0.28,0.06,0.1,0,0,0,Chicago,IL,East North Central
Medical College of Georgia Program,0.74,0.06,0.17,0.05,0.01,0.02,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals (Milwaukee) Program,0.71,0.08,0.16,0.06,0.02,0,Milwaukee,WI,East North Central
Medical College of Wisconsin Affiliated Hospitals (Northeastern Wisconsin) Program,0.67,0.05,0.18,0.07,0,0,Green Bay,WI,East North Central
Medical University of South Carolina College of Medicine Program,0.8,0.14,0.67,0.05,0.01,0,Orangeburg,SC,South Atlantic
Medical University of South Carolina Program,0.61,0.09,0.15,0.05,0,0,Charleston,SC,South Atlantic
MedStar Health Program,-,-,-,-,-,-,Baltimore,MD,South Atlantic
MedStar Health/Georgetown University Hospital Program,0.7,0.06,0.11,0.01,0.01,0.01,Washington,DC,South Atlantic
Meharry Medical College Program,0.27,0.05,0.05,0,0.1,0,Nashville,TN,East South Central
"Memorial Healthcare System, Hollywood, Florida Program",0.38,0.03,0.16,0.06,0.03,0.02,Pembroke Pines,FL,South Atlantic
MercyOne Des Moines/PHC Consortium Program,0.77,0.05,0.13,0.14,0.02,0.01,Des Moines,IA,West North Central
Meritus Medical Center Program,-,-,-,-,-,-,Hagerstown,MD,South Atlantic
MHC Healthcare Program,-,-,-,-,-,-,Marana,AZ,Mountain
Michigan State University Program,0.59,0.06,0.13,0.12,0.03,0,East Lansing,MI,East North Central
Mission Community Hospital Program,0.61,0.16,0.42,0.17,0.09,0.02,Panorama City,CA,Pacific
Mississippi State Hospital Program,1,0.16,0.37,0.24,0.03,0.04,Whitfield,MS,East South Central
"Mohawk Valley Health System, Inc Program",0.22,0.08,0.12,0.16,0.04,0.04,Utica,NY,Middle Atlantic
Montefiore Medical Center/Albert Einstein College of Medicine Program,0.41,0.08,0.22,0.01,0.01,0.01,Bronx,NY,Middle Atlantic
Morehouse School of Medicine Program,0.5,0.06,0.12,0.05,0.01,0,Atlanta,GA,South Atlantic
"Mount Sinai Medical Center of Florida, Inc Program",0.22,0.01,0.06,0.02,0,0.01,Miami Beach,FL,South Atlantic
Mountain Area Health Education Center (Asheville) Program,0.68,0.06,0.16,0.06,0,0,Asheville,NC,South Atlantic
Mountain Area Health Education Center (Linville) Program,-,-,-,-,-,-,Linville,NC,South Atlantic
Nassau University Medical Center Program,0.12,0.08,0.01,0.08,0.06,0.15,East Meadow,NY,Middle Atlantic
National Capital Consortium Program,-,-,-,-,-,-,Bethesda,MD,South Atlantic
National Institutes of Health Clinical Center Program,-,-,-,-,-,-,Bethesda,MD,South Atlantic
Naval Medical Center (Portsmouth) Program,-,-,-,-,-,-,Portsmouth,VA,South Atlantic
Naval Medical Center (San Diego) Program,-,-,-,-,-,-,San Diego,CA,Pacific
New Bridge Medical Center Program,0.21,0.17,0.21,0.17,0.17,0.08,Paramus,NJ,Middle Atlantic
New York Medical College (Metropolitan) Program,0.34,0.06,0.18,0.05,0.02,0.02,New York,NY,Middle Atlantic
New York Medical College at St Joseph's Medical Center Program,0.36,0.04,0.19,0.08,0.03,0,Yonkers,NY,Middle Atlantic
New York Medical College/St. Mary and St. Clare Program,-,-,-,-,-,-,Denville,NJ,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus)/New York State Psychiatric Institute Program,0.23,0.07,0.14,0,0,0,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Cornell Campus) Program,0.26,0.08,0.16,0.01,0.02,0.01,New York,NY,Middle Atlantic
North Alabama Medical Center Program,-,-,-,-,-,-,Muscle Shoals,AL,East South Central
Northeast Georgia Medical Center Program,0.57,0.15,0.34,0.17,0.04,0.04,Gainesville,GA,South Atlantic
Nova Southeastern University - College of Osteopathic Medicine (Bay Pines) Program,0.38,0.08,0.19,0.14,0.01,0,Bay Pines,FL,South Atlantic
Nova Southeastern University - College of Osteopathic Medicine (Orlando) Program,0.3,0.05,0.13,0.1,0.01,0,Clearwater,FL,South Atlantic
Novant Health New Hanover Regional Medical Center Program,0.68,0.07,0.22,0.1,0.01,0,Wilmington,NC,South Atlantic
Nuvance Health Program,0.31,0.09,0.23,0.17,0.09,0.01,Carmel Hamlet,NY,Middle Atlantic
NYU Grossman School of Medicine Program,0.31,0.09,0.18,0.02,0.02,0,New York,NY,Middle Atlantic
Oakland Physicians Medical Center Program,-,-,-,-,-,-,Pontiac,MI,East North Central
Ocean University Medical Center Program,0.65,0.08,0.23,0.13,0.04,0.04,Brick,NJ,Middle Atlantic
Ohio State University Hospital Program,0.66,0.11,0.23,0.09,0.02,0.02,Columbus,OH,East North Central
OhioHealth/Riverside Methodist Hospital Program,0.51,0.01,0.1,0.05,0,0,Columbus,OH,East North Central
Oklahoma State University Center for Health Sciences Program,0.81,0.01,0,0.06,0,0,Tulsa,OK,West South Central
Olive View/UCLA Medical Center Program,0.22,0.07,0.14,0,0,0,Sylmar,CA,Pacific
One Brooklyn Health System/Brookdale University Hospital and Medical Center Program,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
One Brooklyn Health System/Interfaith Medical Center Program,0.02,0.06,0.01,0.01,0.07,0.08,Brooklyn,NY,Middle Atlantic
Oregon Health & Science University (OHSU Health) Program,0.9,0.1,0.15,0.05,0,0,Portland,OR,Pacific
Oregon Health & Science University (OHSU Health)/St. Charles Health System Program,-,-,-,-,-,-,Bend,OR,Pacific
Oroville Hospital Program,-,-,-,-,-,-,Oroville,CA,Pacific
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO) (Griffin Memorial Hospital) Program",-,-,-,-,-,-,Norman,OK,West South Central
Penn Highlands DuBois Program,0.38,0.08,0.15,0.21,0.01,0.01,DuBois,PA,Middle Atlantic
Penn State Milton S Hershey Medical Center Program,0.22,0.05,0.09,0.03,0.02,0.09,Hershey,PA,Middle Atlantic
Piedmont Macon Medical Center Program,0.61,0.03,0.16,0.02,0.01,0.01,Macon,GA,South Atlantic
Pine Rest Christian Mental Health Services Program,0.44,0.13,0.27,0.14,0.01,0.04,Grand Rapids,MI,East North Central
Ponce Health Sciences University Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,0.89,0.07,0.15,0.07,0.01,0.01,Columbia,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greenville) Program,0.4,0.08,0.14,0.09,0.01,0.01,Greenville,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greer) Program,0.69,0.1,0.19,0.11,0.05,0,Greer,SC,South Atlantic
Project Vida Health Center Program,0.16,0.05,0.12,0.05,0.03,0.05,El Paso,TX,West South Central
Providence Sacred Heart Medical Center Program,0.4,0.06,0.14,0.04,0,0,Spokane,WA,Pacific
Quinnipiac University Frank H. Netter MD School of Medicine Program,0.92,0.11,0.21,0.11,0.08,0.08,Torrington,CT,New England
Richmond University Medical Center Program,0.12,0.08,0.08,0.08,0.12,0,Staten Island,NY,Middle Atlantic
Riverside Medical Center Program,0.4,0.08,0.19,0.14,0.02,0,Kankakee,IL,East North Central
Riverside University Health System Program,0.5,0.06,0.24,0.07,0,0,Riverside,CA,Pacific
Rochester General Hospital Program,0.08,0.05,0.06,0.1,0.03,0.04,Rochester,NY,Middle Atlantic
Rush University Medical Center Program,0.38,0.06,0.12,0.05,0,0.03,Chicago,IL,East North Central
Rutgers Health/New Jersey Medical School Program,0.4,0.05,0.07,0.06,0.03,0.06,Newark,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson Medical School Program,0.73,0.09,0.21,0.09,0.01,0.01,Piscataway,NJ,Middle Atlantic
Rutgers Health/Trinitas Regional Medical Center Program,0.26,0.07,0.05,0.06,0.13,0.02,Elizabeth,NJ,Middle Atlantic
Saint Elizabeths Hospital-DC Department of Behavioral Health Program,0.53,0.09,0.16,0,0.03,0.11,Washington,DC,South Atlantic
Samaritan Health Services - Corvallis Program,0.25,0.1,0.13,0.12,0.02,0,Corvallis,OR,Pacific
San Mateo County Behavioral Health and Recovery Services Program,0.12,0.06,0.11,0.02,0.01,0,San Mateo,CA,Pacific
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,0.33,0.04,0.11,0.04,0,0,Philadelphia,PA,Middle Atlantic
South Georgia Medical Education and Research Consortium Program,0.64,0.13,0.14,0.25,0.07,0,Moultrie,GA,South Atlantic
Southern Illinois University Program,0.3,0.08,0.17,0.09,0.03,0.08,Springfield,IL,East North Central
Southern Winds Hospital Program,0.2,0.05,0.07,0.02,0.07,0.14,Hialeah,FL,South Atlantic
SSM Health/Saint Louis University School of Medicine Program,0.51,0.07,0.14,0.11,0.05,0.06,St Louis,MO,West North Central
St Barnabas Hospital Program,0,0.02,0,0,0.04,0.01,Bronx,NY,Middle Atlantic
St Elizabeth's Medical Center Program,0.52,0.06,0.15,0.07,0.02,0.03,Brighton,MA,New England
St Joseph's Medical Center Program,0.49,0.18,0.18,0.41,0.18,0.05,Stockton,CA,Pacific
St Luke's Hospital - Anderson Campus Program,0.67,0.06,0.26,0.17,0.02,0,Easton,PA,Middle Atlantic
St Luke's University Hospital Program,0.18,0.05,0.19,0.02,0.05,0.02,Coaldale,PA,Middle Atlantic
St. Francis-Emory Healthcare Program,0.79,0.09,0.18,0.17,0.02,0,Columbus,GA,South Atlantic
St. John's Episcopal Hospital-South Shore Program,-,-,-,-,-,-,Far Rockaway,NY,Middle Atlantic
Stanford Health Care-Sponsored Stanford University Program,0.24,0.08,0.13,0,0.01,0,Stanford,CA,Pacific
Stony Brook Medicine Program,0.19,0.04,0.07,0.11,0.02,0,Greenport,NY,Middle Atlantic
Stony Brook Medicine/University Hospital Program,0.29,0.02,0.11,0.05,0.01,0.01,Stony Brook,NY,Middle Atlantic
Summa Health System/NEOMED Program,-,-,-,-,-,-,Akron,OH,East North Central
SUNY Downstate Health Sciences University Program,0.26,0.08,0.17,0.04,0.04,0.04,Brooklyn,NY,Middle Atlantic
SUNY Upstate Medical University Program,0.25,0.07,0.16,0.09,0.04,0.04,Syracuse,NY,Middle Atlantic
Temple University Hospital Program,0.36,0.08,0.18,0.03,0.01,0.01,Philadelphia,PA,Middle Atlantic
Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,0.14,0.03,0.07,0.06,0,0,Temple,TX,West South Central
Texas A&M University School of Medicine Program,0.55,0.01,0.24,0.09,0,0,Bryan,TX,West South Central
Texas Institute for Graduate Medical Education and Research (TIGMER) Program,0.47,0.08,0.11,0.25,0.01,0,San Antonio,TX,West South Central
Texas Tech University Health Sciences Center (Permian Basin) Program,-,-,-,-,-,-,MIDLAND,TX,West South Central
Texas Tech University Health Sciences Center at Lubbock Program,0.36,0.06,0.22,0.06,0.03,0.08,Lubbock,TX,West South Central
Texas Tech University HSC El Paso Program,0.18,0.08,0.13,0.05,0.07,0.11,El Paso,TX,West South Central
Texas Tech University HSC El Paso/Hospitals of Providence Transmountain Campus Program,0.32,0.12,0.39,0.02,0.08,0.06,El Paso,TX,West South Central
The MetroHealth System/Case Western Reserve University Program,0.21,0.05,0.06,0.02,0.03,0.1,Cleveland Heights,OH,East North Central
Tower Health/Phoenixville Hospital Program,0.47,0.06,0.19,0.13,0.02,0.07,Phoenixville,PA,Middle Atlantic
Tower Health/Reading Hospital Program,0.9,0.22,0.47,0.56,0.01,0,West Reading,PA,Middle Atlantic
Trinity Health Livonia Hospital/Wayne State University Program,0.64,0.05,0.24,0.11,0,0.01,Livonia,MI,East North Central
Tripler Army Medical Center Program,-,-,-,-,-,-,Tripler AMC,HI,Pacific
Tufts Medical Center Program,-,-,-,-,-,-,Boston,MA,New England
Tulane University Program,0.66,0.05,0.12,0.04,0.03,0.02,New Orleans,LA,West South Central
UCLA David Geffen School of Medicine/UCLA Medical Center Program,0.25,0.07,0.12,0,0.04,0.05,Los Angeles,CA,Pacific
UCLA David Geffen School of Medicine/UCLA Medical Center/VA Greater Los Angeles Healthcare System Program,0.25,0.08,0.15,0.01,0,0,Los Angeles,CA,Pacific
UCLA-Kern Medical Center Program,0.28,0.05,0.09,0.17,0.03,0.01,Bakersfield,CA,Pacific
UMass Chan - Baystate Program,0.86,0.07,0.18,0.07,0.01,0,Springfield,MA,New England
UMass Chan Medical School Program,0.56,0.09,0.16,0.07,0,0.02,Worcester,MA,New England
United Health Services Hospitals Program,0.22,0.12,0.19,0.08,0.09,0.18,Johnson City,NY,Middle Atlantic
Unity Health-White County Medical Center Program,0.28,0.12,0.11,0.19,0.02,0.13,Searcy,AR,West South Central
UnityPoint Broadlawns Psychiatry Education Foundation Program,0.56,0.04,0.09,0.1,0.03,0,Des Moines,IA,West North Central
University at Buffalo Program,0.23,0.02,0.08,0.05,0.02,0.01,Buffalo,NY,Middle Atlantic
University of Alabama Hospital Program,-,-,-,-,-,-,Huntsville,AL,East South Central
University of Alabama Hospital Program,-,-,-,-,-,-,Montgomery,AL,East South Central
University of Alabama Medical Center Program,0.36,0.08,0.18,0.05,0.06,0.04,Birmingham,AL,East South Central
University of Arizona College of Medicine-Phoenix Program,0.52,0.03,0.08,0.06,0,0,Phoenix,AZ,Mountain
University of Arizona College of Medicine-Tucson Program,0.45,0.08,0.18,0.06,0.01,0.01,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,-,-,-,-,-,-,Little Rock,AR,West South Central
University of California (Irvine) Program,0.35,0.06,0.15,0.01,0,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.28,0.08,0.15,0,0,0,La Jolla,CA,Pacific
University of California (San Francisco) Program,0.24,0.07,0.13,0,0.01,0.01,San Francisco,CA,Pacific
University of California (San Francisco)/Fresno Program,0.32,0.03,0.12,0.05,0,0,Fresno,CA,Pacific
