Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Broward Health Program,0.44,0.08,0.22,0.04,0,0,Fort Lauderdale,FL,South Atlantic
Brown University Program,0.67,0.1,0.17,0,0,0.01,Providence,RI,New England
Cape Fear Valley Health Program,0.71,0.08,0.05,0.17,0.02,0,Fayetteville,NC,South Atlantic
CarePoint Health/Bayonne Medical Center Program,0.17,0.07,0.04,0.17,0.04,0,Bayonne,NJ,Middle Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.04,0.01,0.02,0,0,0,Roanoke,VA,South Atlantic
Carle Foundation Hospital Program,0.4,0.05,0.15,0.11,0.01,0,Urbana,IL,East North Central
Carolinas Medical Center Program,0.29,0.04,0.07,0.03,0,0,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.27,0.06,0.12,0.04,0,0,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.16,0.08,0.13,0.01,0.02,0.03,Los Angeles,CA,Pacific
Central Iowa Health System (Iowa Methodist Medical Center) Program,0.44,0.07,0.16,0,0,0,Des Moines,IA,West North Central
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.51,0.04,0.2,0.06,0.02,0.01,Saginaw,MI,East North Central
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.82,0.04,0.08,0.08,0.02,0.02,Charleston,WV,South Atlantic
Christiana Care Health Services Program,-,0.1,0.12,0.15,0.03,0,Newark,DE,South Atlantic
Cleveland Clinic (Florida) Program,-,-,-,-,-,-,Weston,FL,South Atlantic
Cleveland Clinic Foundation Program,0.19,0.07,0.12,0.03,0.01,0.04,Cleveland,OH,East North Central
Cleveland Clinic Foundation/South Pointe Hospital Program,0.15,0.07,0,0.09,0,0,Warrensville Heights,OH,East North Central
Community Memorial Health System Program,0.22,0.08,0.09,0.17,0.03,0,Ventura,CA,Pacific
Conemaugh Memorial Medical Center Program,-,-,-,-,-,-,Johnstown,PA,Middle Atlantic
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.33,0.11,0.22,0.01,0.01,0.01,Camden,NJ,Middle Atlantic
Corewell Health - Grand Rapids/Michigan State University Program,0.32,0.06,0.17,0.03,0,0,Grand Rapids,MI,East North Central
Corewell Health (Dearborn and Trenton) Program,0.18,0.07,0.03,0.16,0.01,0,Dearborn,MI,East North Central
Corewell Health (Farmington Hills) Program,0.44,0.02,0.08,0.06,0.01,0,Farmington Hills,MI,East North Central
Corewell Health William Beaumont University Hospital Program,0.44,0.07,0.22,0.04,0,0,Royal Oak,MI,East North Central
Creighton University School of Medicine (Omaha) Program,0.82,0.21,0.36,0.17,0.08,0.16,Omaha,NE,West North Central
Creighton University School of Medicine Program,0.51,0.09,0.17,0.09,0.01,0.02,Phoenix,AZ,Mountain
Danbury Hospital Program,0.43,0.07,0.16,0.1,0.03,0.01,Danbury,CT,New England
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.41,0.06,0.1,0.02,0.01,0.04,Lebanon,NH,New England
Desert Regional Medical Center Program,0.21,0.08,0.13,0.1,0.08,0.01,Palm Springs,CA,Pacific
Detroit Medical Center Corporation Program,0.22,0.07,0.12,0.08,0.06,0.01,Detroit,MI,East North Central
Detroit Medical Center/Wayne State University Program,0.49,0.05,0.17,0.05,0.02,0,Detroit,MI,East North Central
Dignity Health East Valley Program,0.16,0.06,0.14,0.05,0.01,0,Chandler,AZ,Mountain
"Doctors Hospital at Renaissance, Ltd. Program",0.34,0.06,0.14,0.1,0.08,0.04,Edinburg,TX,West South Central
Duke University Hospital Program,0.3,0.04,0.08,0.01,0,0.01,Durham,NC,South Atlantic
Dwight David Eisenhower Army Medical Center Program,-,-,-,-,-,-,Fort Eisenhower,GA,South Atlantic
East Tennessee State University/Quillen College of Medicine Program,0.28,0.1,0.17,0.12,0,0.03,Johnson City,TN,East South Central
Eastern Virginia Medical School Program,0.42,0.08,0.18,0.01,0,0,Norfolk,VA,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.48,0.05,0.11,0.04,0.02,0.01,Greenville,NC,South Atlantic
Emory University School of Medicine Program,0.31,0.06,0.1,0.01,0.01,0.04,Atlanta,GA,South Atlantic
Florida Atlantic University Charles E. Schmidt College of Medicine Program,0.4,0.06,0.17,0.1,0.01,0.02,Boca Raton,FL,South Atlantic
Florida State University College of Medicine Program,0.41,0.05,0.15,0,0,0,Tallahassee,FL,South Atlantic
Flushing Hospital Medical Center Program,0.09,0.07,0.08,0.06,0.08,0.02,Flushing,NY,Middle Atlantic
Franciscan Health Olympia Fields Program,0.36,0.12,0.09,0.23,0.07,0,Olympia Fields,IL,East North Central
Garden City Hospital Program,-,-,-,-,-,-,Garden City,MI,East North Central
Garnet Health Medical Center Program,0.29,0.11,0.13,0.24,0.05,0,Middletown,NY,Middle Atlantic
Geisinger Health System (Wilkes Barre) Program,0.38,0.07,0.17,0.12,0,0,Wilkes Barre,PA,Middle Atlantic
Geisinger Health System Program,-,-,-,-,-,-,Danville,PA,Middle Atlantic
George Washington University Program,0.55,0.08,0.15,0.04,0,0.01,Washington,DC,South Atlantic
Good Samaritan University Hospital/St. Catherine of Siena Hospital Program,0.29,0.08,0.09,0.29,0.04,0,Smithtown,NY,Middle Atlantic
Gundersen Lutheran Medical Foundation Program,0.38,0.06,0.15,0.03,0,0,La Crosse,WI,East North Central
Hackensack University Medical Center (Palisades) Program,0.2,0.05,0.07,0.1,0.04,0.02,North Bergen,NJ,Middle Atlantic
Hackensack University Medical Center Program,0.46,0.06,0.2,0.06,0.02,0,Hackensack,NJ,Middle Atlantic
Harlem Hospital Center Program,-,-,-,-,-,-,New York,NY,Middle Atlantic
HCA Florida Healthcare/Kendall Hospital Program,-,-,-,-,-,-,Miami,FL,South Atlantic
HCA Florida Healthcare/Lawnwood Hospital Program,-,-,-,-,-,-,Fort Pierce,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Bayonet Point Hospital Program,0.4,0.06,0.16,0.14,0,0,Hudson,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Brandon Hospital Program,-,-,-,-,-,-,Brandon,FL,South Atlantic
HCA Florida Healthcare/Westside/Northwest Hospital Program,0.54,0.08,0.24,0.16,0.03,0.01,Plantation,FL,South Atlantic
HCA Florida JFK Hospital/University of Miami Miller School of Medicine GME Consortium Program,0.31,0.06,0.22,0.08,0.01,0.01,Atlantis,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.75,0.11,0.23,0.36,0.01,0,Orange Park,FL,South Atlantic
HCA Healthcare Chippenham & Johnston-Willis Hospitals Program,-,-,-,-,-,-,Richmond,VA,South Atlantic
HCA Healthcare Kansas City/Menorah Medical Center Program,0.5,0.1,0.22,0.19,0,0,Overland Park,KS,West North Central
HCA Healthcare Riverside Program,0.18,0.05,0.16,0,0.01,0,Riverside,CA,Pacific
HCA Healthcare Sunrise Health GME/MountainView Program,-,-,-,-,-,-,Las Vegas,NV,Mountain
HCA Healthcare/Los Robles Regional Medical Center Program,0.21,0.07,0.22,0,0.02,0,Thousand Oaks,CA,Pacific
HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,0.28,0.06,0.17,0.03,0,0,Myrtle Beach,SC,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,0.44,0.11,0.24,0.03,0,0,Savannah,GA,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Trident Medical Center Program,0.52,0.08,0.1,0.13,0.08,0.01,Charleston,SC,South Atlantic
HCA HealthONE/Sky Ridge Medical Center Program,0.44,0.08,0.09,0.14,0,0,Lone Tree,CO,Mountain
HCA HealthONE/Swedish Medical Center Program,-,-,-,-,-,-,Englewood,CO,Mountain
HCA Houston Healthcare/University of Houston (Kingwood) Program,-,-,-,-,-,-,Kingwood,TX,West South Central
HCA Houston Healthcare/University of Houston Program,-,-,-,-,-,-,Webster,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Plano) Program,0.31,0.05,0.18,0.11,0.01,0,Arlington,TX,West South Central
Hennepin Healthcare Program,0.75,0.11,0.22,0.07,0.01,0.03,Minneapolis,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.17,0.04,0.11,0,0,0.03,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Jackson Hospital Program,0.45,0.06,0.11,0.15,0.01,0,Jackson,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,0.16,0.07,0.03,0.15,0.01,0.01,Clinton Township,MI,East North Central
Henry Ford Health/Henry Ford Wyandotte Hospital Program,0.24,0.11,0.18,0.14,0.04,0.11,Wyandotte,MI,East North Central
Holy Name Medical Center Program,-,-,-,-,-,-,Teaneck,NJ,Middle Atlantic
HonorHealth Program,0.31,0.08,0.05,0.17,0.05,0.02,Phoenix,AZ,Mountain
Hospital Episcopal San Lucas/Ponce School of Medicine Program,-,-,-,-,-,-,Ponce,PR,South Atlantic
Howard University Program,0.55,0.08,0.21,0.04,0.02,0.05,Washington,DC,South Atlantic
Huntington Memorial Hospital Program,-,-,-,-,-,-,Pasadena,CA,Pacific
Icahn School of Medicine at Mount Sinai Program,0.3,0.12,0.22,0.07,0.05,0,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/South Nassau Program,0.32,0.02,0.13,0.02,0.02,0,Oceanside,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Valley Health Program,-,-,-,-,-,-,Paramus,NJ,Middle Atlantic
Indiana University School of Medicine Program,0.69,0.05,0.12,0.05,0.02,0.01,Indianapolis,IN,East North Central
Inova Fairfax Medical Campus/Inova Fairfax Hospital for Children Program,0.32,0.08,0.14,0.05,0.01,0.02,Falls Church,VA,South Atlantic
Inspira Health Network/Inspira Medical Center Vineland Program,0.1,0.04,0,0.09,0.03,0.01,Vineland,NJ,Middle Atlantic
Jersey Shore University Medical Center Program,0.47,0.11,0.31,0.17,0.04,0.03,Neptune City,NJ,Middle Atlantic
Jewish Hospital of Cincinnati Program,0.03,0.04,0.03,0.04,0.06,0.03,Cincinnati,OH,East North Central
Johns Hopkins University Program,-,-,-,-,-,-,Baltimore,MD,South Atlantic
Kaiser Permanente Southern California (Los Angeles) Program,0.4,0.18,0.29,0.14,0,0,Los Angeles,CA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium)/St Anthony Program,-,-,-,-,-,-,Lakewood,CO,Mountain
Kansas City University GME Consortium (KCU-GME Consortium)/St Mary's Program,0.29,0.03,0,0.13,0,0,Blue Springs,MO,West North Central
Kaweah Delta Health Care District (KDHCD) Program,0.28,0.13,0.3,0.04,0,0.05,Visalia,CA,Pacific
Keesler Medical Center Program,-,-,-,-,-,-,Keesler AFB,MS,East South Central
Kern Medical Center Program,-,-,-,-,-,-,Bakersfield,CA,Pacific
Kettering Health Network Program,-,-,-,-,-,-,Dayton,OH,East North Central
Kirk Kerkorian School of Medicine at UNLV Program,-,-,-,-,-,-,Las Vegas,NV,Mountain
Lahey Clinic Program,0.37,0.06,0.15,0.01,0,0,Burlington,MA,New England
Lakeland Regional Health Program,0.36,0.14,0.24,0.27,0,0,Lakeland,FL,South Atlantic
Larkin Community Hospital Program,0.05,0.04,0.01,0.04,0.07,0.05,South Miami,FL,South Atlantic
Lehigh Valley Health Network Program,0.03,0.01,0.02,0.01,0,0,Allentown,PA,Middle Atlantic
Lincoln Medical and Mental Health Center Program,0.1,0.08,0.11,0.04,0.08,0.09,Bronx,NY,Middle Atlantic
Loma Linda University Health Education Consortium Program,0.41,0.08,0.19,0.07,0.06,0.05,Loma Linda,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,0.26,0.08,0.17,0.04,0,0,Torrance,CA,Pacific
Louisiana State University (Shreveport) Program,0.54,0.07,0.18,0.11,0.03,0,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,-,-,-,-,-,-,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.3,0.08,0.14,0.05,0.02,0,Maywood,IL,East North Central
Madigan Army Medical Center Program,-,-,-,-,-,-,Tacoma,WA,Pacific
Maimonides Medical Center Program,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Main Line Health System/Lankenau Medical Center Program,-,-,-,-,-,-,Wynnewood,PA,Middle Atlantic
MaineHealth Program,0.29,0.07,0.13,0.03,0.01,0,Portland,ME,New England
Marshall Community Health Consortium Program,0.67,0.19,0.34,0.43,0.02,0,Huntington,WV,South Atlantic
Marshall University School of Medicine Program,0.64,0.09,0.35,0.02,0,0.01,Huntington,WV,South Atlantic
Marshfield Clinic Program,0.5,0.05,0.1,0.09,0.06,0.01,Marshfield,WI,East North Central
Mary Washington Healthcare Program,0.5,0.06,0.12,0.16,0.02,0.02,Fredericksburg,VA,South Atlantic
Mass General Brigham/Brigham and Women's Hospital Program,0.22,0.05,0.09,0,0,0,Boston,MA,New England
Mass General Brigham/Massachusetts General Hospital Program,0.22,0.06,0.1,0,0.01,0.03,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.13,0.06,0.11,0.02,0.02,0.05,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Phoenix) Program,0.09,0.06,0.08,0.02,0.03,0.04,Phoenix,AZ,Mountain
Mayo Clinic College of Medicine and Science (Rochester) Program,0.25,0.07,0.08,0.04,0.03,0.07,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,0.11,0.04,0.06,0,0.01,0,Chicago,IL,East North Central
McLaren Health Care/Greater Lansing/MSU Program,0.02,0.05,0.02,0.1,0,0,Lansing,MI,East North Central
McLaren Health Care/Macomb/MSU Program,0.26,0.05,0.06,0.09,0,0,Mount Clemens,MI,East North Central
Medical College of Georgia Program,0.54,0.03,0.09,0.06,0.01,0.01,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.45,0.05,0.11,0,0,0.01,Milwaukee,WI,East North Central
Medical University of South Carolina Program,-,-,-,-,-,-,Charleston,SC,South Atlantic
MedStar Health (Baltimore) Program,0.24,0.03,0.08,0.01,0,0.01,Baltimore,MD,South Atlantic
MedStar Health/Georgetown-Washington Hospital Program,0.4,0.06,0.12,0,0,0,Washington,DC,South Atlantic
"Memorial Healthcare System, Hollywood, Florida Program",0.32,0.09,0.27,0.02,0.02,0.01,Pembroke Pines,FL,South Atlantic
Mercy Catholic Medical Center Program,0.33,0.07,0.22,0.07,0.02,0.05,Darby,PA,Middle Atlantic
Mercy St Vincent Medical Center Program,-,-,-,-,-,-,Toledo,OH,East North Central
MercyOne Des Moines/PHC Consortium Program,0.2,0.09,0.16,0.11,0,0.03,Des Moines,IA,West North Central
Methodist Health System Dallas Program,0.22,0.04,0.11,0.02,0.01,0,Dallas,TX,West South Central
Methodist Healthcare System of San Antonio Program,-,-,-,-,-,-,SAN ANTONIO,TX,West South Central
Methodist Hospital (Houston) Program,0.14,0.04,0.1,0,0.02,0.02,Houston,TX,West South Central
Midwestern University GME Consortium / Mountain Vista Program,0.03,0.06,0,0.11,0.06,0.04,Mesa,AZ,Mountain
"Mohawk Valley Health System, Inc Program",0.34,0.11,0.2,0.22,0.1,0.01,Utica,NY,Middle Atlantic
Montefiore Medical Center/Albert Einstein College of Medicine Program,0.27,0.15,0.22,0.14,0.06,0.16,Bronx,NY,Middle Atlantic
Morehouse School of Medicine Program,0.65,0.04,0.12,0.02,0.01,0.03,Atlanta,GA,South Atlantic
Mount Carmel Health System Program,0.33,0.09,0.16,0.13,0,0,Grove City,OH,East North Central
Mount Sinai Medical Center of Florida Program,0.33,0.02,0.09,0.01,0.01,0,Miami Beach,FL,South Atlantic
Mountain Area Health Education Center Program,0.48,0.06,0.14,0.04,0,0,Asheville,NC,South Atlantic
Nassau University Medical Center Program,0.19,0.03,0.18,0.03,0.01,0,East Meadow,NY,Middle Atlantic
National Capital Consortium Program,-,-,-,-,-,-,Bethesda,MD,South Atlantic
Naval Medical Center (Portsmouth) Program,-,-,-,-,-,-,Portsmouth,VA,South Atlantic
Naval Medical Center (San Diego) Program,-,-,-,-,-,-,San Diego,CA,Pacific
Nazareth Hospital Program,0.06,0.05,0.14,0.01,0,0,Philadelphia,PA,Middle Atlantic
New York Medical College at Metropolitan Hospital Center Program,0.4,0.11,0.26,0.22,0.01,0,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus) Program,0.23,0.06,0.13,0.03,0.02,0.01,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Cornell Campus) Program,0.26,0.06,0.13,0,0.01,0.04,New York,NY,Middle Atlantic
New York-Presbyterian Brooklyn Methodist Hospital Program,0.17,0.07,0.15,0.15,0.01,0,Brooklyn,NY,Middle Atlantic
New York-Presbyterian/Queens Program,0.21,0.05,0.14,0.09,0.01,0,Flushing,NY,Middle Atlantic
Northeast Georgia Medical Center Program,0.31,0.1,0.14,0.18,0.05,0.04,Gainesville,GA,South Atlantic
Novant Health New Hanover Regional Medical Center Program,0.33,0.06,0.14,0.01,0,0,Wilmington,NC,South Atlantic
Nuvance Health Program,0.39,0.09,0.22,0.23,0,0,Poughkeepsie,NY,Middle Atlantic
NYC Health & Hospitals/South Brooklyn Health Program,0.32,0.15,0.26,0.16,0.12,0.11,Brooklyn,NY,Middle Atlantic
NYU Grossman Long Island School of Medicine Program,0.21,0.06,0.18,0.07,0.01,0.01,Mineola,NY,Middle Atlantic
NYU Grossman School of Medicine (Brooklyn) Program,0.11,0.03,0.09,0,0,0,Brooklyn,NY,Middle Atlantic
NYU Grossman School of Medicine Program,0.19,0.05,0.12,0.01,0.01,0,New York,NY,Middle Atlantic
Ochsner Clinic Foundation Program,0.38,0.11,0.2,0.06,0.07,0,New Orleans,LA,West South Central
Ochsner Lafayette General Medical Center Program,0.95,0.09,0.27,0.14,0.09,0,Lafayette,LA,West South Central
Ohio State University Hospital Program,0.19,0.06,0.12,0,0,0,Columbus,OH,East North Central
OhioHealth/Doctors Hospital Program,0.47,0.15,0,0.2,0,0,Columbus,OH,East North Central
OhioHealth/Riverside Methodist Hospital Program,0.65,0.06,0.19,0.06,0,0,Columbus,OH,East North Central
Oklahoma State University Center for Health Sciences Program,-,-,-,-,-,-,Tulsa,OK,West South Central
One Brooklyn Health System/Brookdale University Hospital and Medical Center Program,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Oregon Health & Science University (OHSU Health) Program,0.5,0.07,0.12,0.04,0.01,0.01,Portland,OR,Pacific
Orlando Health Program,0.22,0.06,0.16,0.02,0,0,Orlando,FL,South Atlantic
Parkview Health Program,0.64,0.13,0.43,0.01,0.01,0.01,Fort Wayne,IN,East North Central
Penn State Milton S Hershey Medical Center Program,0.31,0.08,0.13,0.13,0.1,0.01,Hershey,PA,Middle Atlantic
Philadelphia College of Osteopathic Medicine Program,0.48,0.17,0,0.3,0,0,Philadelphia,PA,Middle Atlantic
Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,0.2,0.05,0.09,0.05,0,0,Columbia,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greenville) Program,0.46,0.06,0.13,0.05,0,0,Greenville,SC,South Atlantic
Quinnipiac University Frank H Netter MD School of Medicine (Waterbury Hospital) Program,0.64,0.06,0.09,0.07,0.06,0.06,Waterbury,CT,New England
Riverside University Health System/University of California Riverside Program,0.26,0.1,0.21,0.01,0.01,0.02,Moreno Valley,CA,Pacific
Robert Packer Hospital/Guthrie Program,0.32,0.06,0.24,0.09,0.02,0.01,Sayre,PA,Middle Atlantic
Rush University Medical Center Program,0.2,0.06,0.1,0.05,0,0,Chicago,IL,East North Central
Rutgers Health/Community Medical Center Program,0.3,0.07,0.17,0.05,0.03,0.05,Toms River,NJ,Middle Atlantic
Rutgers Health/Monmouth Medical Center Program,-,-,-,-,-,-,Long Branch,NJ,Middle Atlantic
Rutgers Health/New Jersey Medical School Program,0.45,0.07,0.16,0.09,0.02,0.02,Newark,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson Medical School Program,0.58,0.09,0.19,0.11,0.01,0.01,New Brunswick,NJ,Middle Atlantic
Saint Joseph Hospital Program,0.41,0.09,0.16,0.06,0.01,0,Denver,CO,Mountain
Samaritan Health Services - Corvallis Program,0,0.05,0.02,0.11,0,0,Corvallis,OR,Pacific
San Antonio Uniformed Services Health Education Consortium Program,-,-,-,-,-,-,JBSA Fort Sam Houston,TX,West South Central
San Joaquin General Hospital Program,0.16,0.02,0.09,0.01,0,0,French Camp,CA,Pacific
Santa Barbara Cottage Hospital Program,0.11,0.08,0.13,0,0.01,0,Santa Barbara,CA,Pacific
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,0.24,0.06,0.13,0,0.01,0,Philadelphia,PA,Middle Atlantic
Sinai Hospital of Baltimore Program,0,0.07,0.11,0.11,0.02,0.01,Baltimore,MD,South Atlantic
Southern Illinois University Program,0.22,0.04,0.1,0.04,0.01,0.01,Springfield,IL,East North Central
Southwest Healthcare Medical Education Consortium Program,0.17,0.1,0.19,0.1,0.05,0.02,Wildomar,CA,Pacific
Spartanburg Medical Center Program,0.4,0.03,0.08,0.06,0,0,Spartanburg,SC,South Atlantic
SSM Health/Saint Louis University School of Medicine Program,0.4,0.11,0.23,0.07,0.02,0.02,St Louis,MO,West North Central
St Agnes HealthCare Program,0.29,0.03,0.05,0.04,0.04,0.03,Baltimore,MD,South Atlantic
St Barnabas Hospital Program,0.19,0.06,0.19,0.09,0.01,0,Bronx,NY,Middle Atlantic
St Elizabeth Youngstown Hospital/NEOMED Program,0.61,0.07,0.25,0.15,0.01,0,Youngstown,OH,East North Central
St Elizabeth's Medical Center Program,0.18,0.06,0.12,0.04,0,0,Boston,MA,New England
St John's Episcopal Hospital-South Shore Program,-,-,-,-,-,-,Far Rockaway,NY,Middle Atlantic
St Joseph's University Medical Center Program,0.34,0.06,0.16,0.08,0.06,0,Paterson,NJ,Middle Atlantic
St Luke's University Hospital Program,0.2,0.03,0.11,0.04,0.01,0,Bethlehem,PA,Middle Atlantic
St Mary's Hospital (Waterbury) Program,0.33,0.06,0.07,0.05,0.08,0.04,Waterbury,CT,New England
St. David's Healthcare Graduate Medical Education Program,-,-,-,-,-,-,Austin,TX,West South Central
Stamford Hospital/Columbia University College of Physicians and Surgeons Program,0.6,0.1,0.19,0.05,0.02,0,Stamford,CT,New England
Stanford Health Care-Sponsored Stanford University Program,0.17,0.05,0.09,0,0.01,0,Stanford,CA,Pacific
Stony Brook Medicine Program,0.29,0.07,0.21,0.05,0.02,0.02,Stony Brook,NY,Middle Atlantic
Stony Brook Medicine/Southampton Hospital Program,-,-,-,-,-,-,Southampton,NY,Middle Atlantic
Summa Health System/NEOMED Program,0.26,0.1,0.26,0.01,0,0,Akron,OH,East North Central
SUNY Downstate Health Sciences University Program,0.26,0.07,0.18,0.11,0.02,0.01,Brooklyn,NY,Middle Atlantic
SUNY Upstate Medical University Program,-,-,-,-,-,-,Syracuse,NY,Middle Atlantic
Sutter Health/Sutter Roseville Medical Center Program,0.41,0.13,0.3,0.08,0.05,0,Roseville,CA,Pacific
Swedish Medical Center/First Hill Program,0.2,0.13,0.19,0,0,0,Seattle,WA,Pacific
Temple University Hospital Program,0.15,0.03,0.06,0.02,0,0,Philadelphia,PA,Middle Atlantic
Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,0.33,0.08,0.2,0.04,0,0,Temple,TX,West South Central
Texas Health Resources Fort Worth General Surgery Program,0.22,0.03,0.07,0.11,0,0,Fort Worth,TX,West South Central
Texas Tech University Health Sciences Center (Permian Basin) Program,0.52,0,0.17,0.08,0,0,ODESSA,TX,West South Central
Texas Tech University Health Sciences Center at Lubbock Program,0.26,0.01,0.12,0.03,0.01,0,Lubbock,TX,West South Central
Texas Tech University HSC El Paso Program,0.47,0.06,0.26,0.18,0,0.02,El Paso,TX,West South Central
The MetroHealth System/Case Western Reserve University Program,0.32,0.06,0.17,0.03,0.03,0.01,Cleveland,OH,East North Central
TidalHealth Program,0.25,0.09,0.11,0.27,0.02,0,Salisbury,MD,South Atlantic
Tower Health Program,0.43,0.05,0.16,0.16,0,0,West Reading,PA,Middle Atlantic
TriHealth (Good Samaritan Hospital) Program,-,-,-,-,-,-,Cincinnati,OH,East North Central
Trinity Health Ann Arbor Hospital Program,0.43,0.13,0.32,0.03,0.01,0,Ypsilanti,MI,East North Central
