Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of Texas Health Science Center at Houston Program,0.5,0.58,0.13,0.75,0.17,0.34,0.07,0.03,0.12,Houston,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,-,-,-,-,-,-,-,-,-,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,-,-,-,0.57,0.51,0.63,0.32,0.29,0.62,Galveston,TX,West South Central
University of Texas Southwestern Medical Center Program,0.67,0.52,0.22,0.81,0.24,0.44,0.06,0.08,0.14,Dallas,TX,West South Central
University of Utah Health Program,0.7,0.73,0.07,1,0.17,0.24,0.07,0.06,0,Salt Lake City,UT,Mountain
University of Virginia Medical Center Program,0.17,0.76,0.04,0.8,0.13,0.2,0,0,0,Charlottesville,VA,South Atlantic
University of Washington School of Medicine Program,-,-,-,-,-,-,-,-,-,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,0.86,0.88,0.13,1,0.23,0.3,0.11,0.07,0.17,Madison,WI,East North Central
UPMC Medical Education Program,0.78,0.67,0.2,0.57,0.2,0.35,0.1,0.04,0,Pittsburgh,PA,Middle Atlantic
Vanderbilt University Medical Center Program,0.73,0.78,0.11,1,0.19,0.31,0,0,0,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,1,1,0.11,1,0.18,0.27,0.12,0,0,Richmond,VA,South Atlantic
Wake Forest University Baptist Medical Center Program,0.54,0.78,0.23,1,0.26,0.38,0.15,0,0,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.5,0.5,0.25,0.4,0.26,0.38,0,0,0.18,Saint Louis,MO,West North Central
Yale-New Haven Medical Center Program,0.57,0.67,0.21,1,0.28,0.44,0.07,0,0.08,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program,0.33,0.22,0.17,0.43,0.14,0.21,0.32,0,0,Port Jefferson,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell Program,0.25,0.67,0.23,0.65,0.23,0.42,0.21,0.04,0,New Hyde Park,NY,Middle Atlant
