Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Arnot Ogden Medical Center Program,0.27,0.12,0.38,0.12,0.3,0.43,0.09,0.03,Elmira,NY,Middle Atlantic
Arrowhead Regional Medical Center Program,0.39,0.28,0.69,0.24,0.61,0.65,0.16,0,Colton,CA,Pacific
Ascension Genesys Hospital Program,0.21,0.09,0.61,0.07,0.42,0.51,0.04,0.04,Grand Blanc,MI,East North Central
Ascension Illinois/Resurrection Program,0.47,0.11,0.64,0.08,0.48,0.17,0,0,Chicago,IL,East North Central
Ascension Illinois/Saint Joseph (Chicago) Program,0.25,0.14,0.44,0.12,0.36,0.26,0,0,Chicago,IL,East North Central
Ascension Illinois/Saint Mary (Chicago) Program,0.17,0.08,0.36,0.08,0.22,0.22,0.11,0.01,Chicago,IL,East North Central
Ascension Macomb-Oakland Hospital Program,0.6,0.27,0.78,0.21,0.44,0.59,0.02,0,Warren,MI,East North Central
Ascension Providence/MSUCHM Program,0.45,0.09,0.66,0.06,0.53,0.27,0.03,0.03,Southfield,MI,East North Central
Ascension St John Hospital Program,0.22,0.07,0.58,0.05,0.51,0.11,0.04,0.04,St Clair Shores,MI,East North Central
Ascension St Vincent Hospital Indianapolis Program,0.73,0.26,0.93,0.25,0.8,0.47,0.07,0.01,Indianapolis,IN,East North Central
Ascension Wisconsin Program,-,-,0,0.25,0.5,0.8,0.21,0.25,Milwaukee,WI,East North Central
Atlantic Health System/Morristown Medical Center Program,0.79,0.12,0.6,0.17,0.07,0.34,0.07,0,Morristown,NJ,Middle Atlantic
Atlantic Health System/Overlook Medical Center Program,0.63,0.1,0.63,0.12,0.76,0.14,0,0,Summit,NJ,Middle Atlantic
AtlantiCare Regional Medical Center Program,0.33,0.33,0.76,0.3,0.48,0.45,0.24,0,Atlantic City,NJ,Middle Atlantic
Atrium Health Cabarrus Program,0.54,0.11,0.67,0.12,0.31,0.23,0.04,0,Concord,NC,South Atlantic
Atrium Health Floyd Medical Center Program,0.56,0.16,0.78,0.17,0.6,0.27,0.04,0,Rome,GA,South Atlantic
Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program,0.28,0.07,0.57,0.08,0.25,0.21,0.05,0.05,Macon,GA,South Atlantic
Aultman Hospital/NEOMED Program,0.22,0.08,0.72,0.07,0.36,0.31,0.06,0.07,Canton,OH,East North Central
Aurora Health Care (Elkhorn) Program,0.36,0.24,1,0.21,0.7,0.58,0.16,0.04,Elkhorn,WI,East North Central
Aurora Health Care (Milwaukee) Program,0.56,0.4,0.91,0.38,0.78,0.56,0.07,0.04,Milwaukee,WI,East North Central
Baptist Health - Deaconess Madisonville Program,0.44,0.27,0.72,0.25,0.74,0.41,0.23,0.08,Madisonville,KY,East South Central
Baptist Health - UAMS Program,0.34,0.2,0.8,0.17,0.69,0.58,0.12,0.01,North Little Rock,AR,West South Central
Baptist Health South Florida/Florida International University Program,-,-,0.25,0.05,0.18,0.05,0.05,0.04,Miami,FL,South Atlantic
Baptist Memorial Medical Education (Memphis) Program,0.33,0.24,0.67,0.23,0.71,0.66,0.13,0.09,Memphis,TN,East South Central
Baptist Memorial Medical Education (Southaven) Program,0.48,0.18,0.67,0.18,0.41,0.53,0.14,0.14,Southaven,MS,East South Central
Baptist Outreach Services (Montgomery) Program,0.43,0.06,0.75,0.07,0.36,0.32,0.06,0.06,Montgomery,AL,East South Central
Baton Rouge General Medical Center Program,0.36,0.23,0.78,0.21,0.53,0.38,0.19,0,Baton Rouge,LA,West South Central
BayCare Health System Program,-,-,1,0.42,0.33,0.71,0.42,0.38,Riverview,FL,South Atlantic
Bayhealth Medical Center Program,0.33,0.28,-,0.28,0.6,0.68,0.21,0.14,Dover,DE,South Atlantic
Baylor College of Medicine (St. Luke's Health-East Texas) Program,0.14,0.06,0.24,0.03,0.14,0.16,0.04,0.01,Lufkin,TX,West South Central
Baylor College of Medicine Program,0.27,0.1,0.42,0.05,0.26,0.12,0.02,0.02,Houston,TX,West South Central
Baylor Scott and White Medical Center - Round Rock Program,0.38,0.15,0.58,0.05,0.63,0.13,0.01,0,Round Rock,TX,West South Central
Baylor University Medical Center Program,0.27,0.06,0.29,0.03,0.16,0.12,0,0,Dallas,TX,West South Central
Baylor University Medical Center/Baylor Scott & White Medical Center (Waxahachie) Program,0.13,0.07,0.29,0.05,0.2,0.25,0.02,0,Waxahachie,TX,West South Central
Baystate Franklin Medical Center Program,0.44,0.2,0.86,0.19,0.63,0.33,0.09,0.08,greenfield,MA,New England
Beebe Healthcare Program,0.18,0.14,-,0.14,0.42,0.66,0.09,0.01,Lewes,DE,South Atlantic
Bella Vista Hospital Program,-,-,0.4,0.1,0.32,0,0.12,0.04,Mayaguez,PR,South Atlantic
"Boa Vida Foundation, Inc. Program",-,-,-,-,-,-,-,-,Aberdeen,MS,East South Central
Bon Secours Richmond Health System (Blackstone Rural) Program,0.29,0.12,0.57,0.1,0.31,0.43,0.05,0.12,Blackstone,VA,South Atlantic
"Borinquen Health Care Center, Inc Program",-,-,0.42,0.09,0.17,0.15,0.11,0.03,Miami,FL,South Atlantic
Boston University Medical Center Program,0.42,0.27,0.73,0.27,0.53,0.25,0,0,Boston,MA,New England
Broadlawns Medical Center Program,0.83,0.17,0.92,0.14,0.46,0.49,0.01,0,Des Moines,IA,West North Central
BronxCare Health System Program,-,-,-,-,-,-,-,-,Bronx,NY,Middle Atlantic
Brooklyn Hospital Center Program,0.11,0.07,0.05,0.08,0.14,0,0.05,0.13,Brooklyn,NY,Middle Atlantic
Broward Health Program,0.33,0.12,0.53,0.12,0.36,0.28,0.06,0.03,Ft. Lauderdale,FL,South Atlantic
Cahaba Medical Care/University of Alabama Medical Center Program,0.5,0.14,0.61,0.16,0.54,0.33,0,0,Centreville,AL,East South Central
Campbell University (Conway) Program,0.71,0.46,0.93,0.45,0.48,0.82,0.28,0,Conway,SC,South Atlantic
Campbell University Program,-,-,-,-,-,-,-,-,Elkin,NC,South Atlantic
Campbell University Program,0.36,0.29,0.82,0.27,0.44,0.44,0.23,0.12,Lumberton,NC,South Atlantic
Campbell University/Harnett Health Program,0.56,0.15,0.93,0.14,0.27,0.43,0.06,0.04,Dunn,NC,South Atlantic
Campbell University/Sampson Regional Medical Center Program,-,-,0.75,0.31,0.44,0.75,0,0,Clinton,NC,South Atlantic
Capital Health Regional Medical Center Program,0.2,0.24,0.89,0.2,0.44,0.6,0.07,0,Pennington,NJ,Middle Atlantic
CareConnect Health Inc. Program,-,-,-,-,-,-,-,-,Cordele,GA,South Atlantic
CarePoint Health/Christ Hospital (Jersey City) Program,0.15,0.05,0.61,0.03,0,0.21,0,0,Jersey City,NJ,Middle Atlantic
CarePoint Health/New York Medical College (Hoboken) Program,0.19,0.04,0.27,0.05,0.22,0.12,0.04,0,Hoboken,NJ,Middle Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.69,0.21,0.65,0.19,0.44,0.3,0.06,0,Roanoke,VA,South Atlantic
Carle Foundation Hospital Program,-,-,-,-,-,-,-,-,Urbana,IL,East North Central
Carolinas Medical Center Program,0.67,0.25,0.85,0.26,0.45,0.34,0.05,0,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,-,-,-,-,-,-,-,-,Cleveland,OH,East North Central
CCI Health Services Program,-,-,-,-,-,-,-,-,Greenbelt,MD,South Atlantic
Center for Family Medicine (Pierre) Program,0.5,0.18,0.5,0.19,0.45,0.53,0.09,0.03,Sioux Falls,SD,West North Central
Center for Family Medicine (Sioux Falls) Program,0.7,0.2,1,0.23,0.8,0.73,0.09,0.01,Sioux Falls,SD,West North Central
Centra Health Program,0.24,0.37,0.7,0.32,0.43,0.5,0.34,0,Lynchburg,VA,South Atlantic
Central Iowa Health System (Iowa Lutheran Hospital) Program,0.73,0.24,0.91,0.21,0.71,0.66,0.09,0.03,Des Moines,IA,West North Central
Central Maine Medical Center Program,0.49,0.19,0.94,0.19,0.56,0.42,0.12,0.11,Lewiston,ME,New England
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.17,0.11,0.71,0.07,0.53,0.29,0.08,0.05,Saginaw,MI,East North Central
Centura Health Corporation (Alamosa) Program,0.41,0.31,0.2,0.32,0.44,0.46,0.18,0,Pueblo,CO,Mountain
Centura Health Corporation/ St Mary-Corwin Hospital Program,0.5,0.46,0.77,0.44,0.62,0.52,0.19,0,Pueblo,CO,Mountain
Centura Health Corporation/St Anthony Hospital North Program,0.67,0.23,0.63,0.27,0.44,0.29,0,0,Westminster,CO,Mountain
"Charles R Drew University of Medicine and Science, College of Medicine Program",0.27,0.16,0.45,0.13,0.53,0.22,0.09,0.05,Los Angeles,CA,Pacific
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.32,0.11,0.56,0.11,0.44,0.29,0.08,0.09,Charleston,WV,South Atlantic
Charleston Area Medical Center/Greenbrier Valley Medical Center Program,-,-,-,-,-,-,-,-,Ronceverte,WV,South Atlantic
Cheshire Medical Center/Dartmouth Health Program,0.25,0.1,1,0.11,0.64,0.56,0.05,0.02,Keene,NH,New England
Christ Hospital/University of Cincinnati College of Medicine Program,0.47,0.13,0.48,0.14,0.42,0.12,0.01,0,Cincinnati,OH,East North Central
Christiana Care Health Services Program,0.65,0.25,-,0.31,0.64,0.4,0,0,Wilmington,DE,South Atlantic
CHRISTUS Health/Texas A&M University School of Medicine (Corpus Christi) Program,-,-,0.69,0.25,0.51,0.51,0.13,0,Corpus Christi,TX,West South Central
CHRISTUS Health/Texas A&M University School of Medicine (San Antonio) Program,-,-,-,-,-,-,-,-,San Antonio,TX,West South Central
Clarion Hospital Program,0.12,0.08,0.46,0.03,0.26,0.31,0,0,Clarion,PA,Middle Atlantic
Cleveland Clinic Foundation Program,0.51,0.13,0.78,0.1,0.44,0.17,0,0,Lakewood,OH,East North Central
Clinica Sierra Vista - Bakersfield Program,-,-,0.03,0.04,0.15,0.01,0.06,0.02,Bakersfield,CA,Pacific
Community Health Care Program,0.5,0.29,0.53,0.29,0.56,0.33,0.06,0,Tacoma,WA,Pacific
Community Health Network Program,0.7,0.25,0.75,0.25,0.56,0.57,0.05,0,Indianapolis,IN,East North Central
"Community Health Network, Inc. Program",0.72,0.3,0.76,0.29,0,0.52,0,0,Greenwood,IN,East North Central
Community Health of Central Washington Program,0.58,0.63,0.97,0.6,0.79,0.73,0.52,0.31,Yakima,WA,Pacific
"Community Health of South Florida, Inc. (CHI) Program",-,-,0.5,0.09,0.16,0.18,0.08,0.1,Miami,FL,South Atlantic
Community Healthcare Network Program,-,-,0.2,0.09,0,0.15,0.09,0.11,Long Island City,NY,Middle Atlantic
Community Memorial Health System Program,0.58,0.18,0.3,0.21,0,0.38,0.02,0,Ventura,CA,Pacific
Concord Hospital/New Hampshire-Dartmouth Family Medicine Program,0.33,0.16,1,0.17,0.59,0.31,0.11,0.09,Concord,NH,New England
Cone Health Program,-,-,0.89,0.18,0.49,0.37,0.02,0,Greensboro,NC,South Atlantic
Conemaugh Memorial Medical Center Program,0.12,0.02,0.3,0.03,0.14,0.24,0.02,0.02,Johnstown,PA,Middle Atlantic
Conroe Medical Education Foundation Program,0.52,0.27,0.73,0.13,0.62,0.48,0,0,Conroe,TX,West South Central
Contra Costa Regional Medical Center Program,0.69,0.32,0.49,0.34,0.63,0.31,0.02,0,Martinez,CA,Pacific
Conway Regional Health System Dardanelle Program,0.25,0.19,0.9,0.11,0.34,0.44,0.09,0.06,Dardanelle,AR,West South Central
Conway Regional Health System Program,0.94,0.3,0.93,0.25,0.68,0.63,0.14,0,Conway,AR,West South Central
Cook County Health and Hospitals System Program,0.19,0.08,0.44,0.07,0.31,0.13,0.04,0,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.31,0.16,0.8,0.15,0.7,0.53,0.05,0.04,Camden,NJ,Middle Atlantic
Corewell Health - Grand Rapids/Michigan State University Program,0.67,0.11,0.53,0.08,0.48,0.24,0.03,0.02,Grand Rapids,MI,East North Central
Corewell Health (Farmington Hills) Program,0.6,0.15,0.48,0.13,0,0.35,0,0,Farmington Hills,MI,East North Central
Corewell Health (Wayne) Program,0.73,0.12,0.66,0.08,0.42,0.27,0.07,0,Wayne,MI,East North Central
Corewell Health Beaumont (Gross Point) Program,0.43,0.08,0.8,0.03,0.58,0.29,0.03,0.01,Grosse Pointe,MI,East North Central
Corewell Health Beaumont (Troy) Program,0.51,0.09,0.59,0.04,0.47,0.18,0,0,Sterling Heights,MI,East North Central
Corewell Health Lakeland Program,-,-,0.72,0.21,0.81,0.46,0.07,0.01,Saint Joseph,MI,East North Central
Cornerstone Care Teaching Health Center Program,0.45,0.05,0.25,0.05,0,0.21,0.06,0.02,Mount Morris,PA,Middle Atlantic
CoxHealth Program,0.65,0.33,0.77,0.28,0.52,0.55,0.05,0,Springfield,MO,West North Central
Creighton University School of Medicine (Omaha) Program,0.21,0.07,1,0.08,0.35,0.25,0.08,0.05,Omaha,NE,West North Central
Creighton University School of Medicine Program,0.3,0.1,0.46,0.08,0.3,0.21,0.01,0.01,Phoenix,AZ,Mountain
Crozer-Chester Medical Center Program,0.92,0.3,0.79,0.23,0.54,0.51,0,0,Springfield,PA,Middle Atlantic
Darnall Army Medical Center Program,-,-,-,-,-,-,-,-,Fort Cavazos,TX,West South Central
David Grant Medical Center Program,-,-,-,-,-,-,-,-,Travis AFB,CA,Pacific
Deaconess Hospital Program,0.62,0.35,0.7,0.35,0.68,0.54,0.14,0,Evansville,IN,East North Central
"Delaware Valley Community Health, Inc. Program",0.14,0.13,0.57,0.11,0.54,0.46,0.06,0.02,Philadelphia,PA,Middle Atlantic
"Denver Community Health Services, Inc. Program",-,-,1,0.17,0.93,0.72,0.1,0,Denver,CO,Mountain
DePaul Community Health Centers - New Orleans Program,-,-,1,0.23,0.71,0.35,0.26,0.08,New Orleans,LA,West South Central
Desert Regional Medical Center Program,0.17,0.24,0.5,0.2,0.56,0.39,0.15,0.09,Palm Springs,CA,Pacific
DeTar Healthcare System Program,0.18,0.15,0.79,0.09,0.55,0.47,0.07,0.03,Victoria,TX,West South Central
Detroit Medical Center (Sinai Grace)/Michigan State University Program,0.13,0.09,0.07,0.09,0.08,0.08,0.08,0.1,Detroit,MI,East North Central
Detroit Wayne County Health Authority (Authority Health) GME Consortium Program,0.53,0.04,0.26,0.06,0.07,0.2,0.06,0.01,Detroit,MI,East North Central
Dignity Health East Valley Program,0.41,0.27,0.71,0.21,0.39,0.6,0.06,0,Gilbert,AZ,Mountain
Dignity Health Methodist Hospital of Sacramento Program,0.54,0.2,0.41,0.19,0.68,0.23,0.02,0,Sacramento,CA,Pacific
Dignity Health Methodist Hospital of Sacramento/Sierra NevadaÂ Memorial Hospital Program,0.32,0.09,0.32,0.08,0.53,0.24,0,0.02,Grass Valley,CA,Pacific
Dignity Health Northridge Hospital Medical Center Program,0.46,0.33,0.63,0.26,0.61,0.51,0.02,0,Northridge,CA,Pacific
"Doctors Hospital at Renaissance, Ltd. Program",-,-,0.76,0.07,0.62,0.43,0.05,0.04,McAllen,TX,West South Central
Doylestown Hospital Program,0.29,0.18,0.66,0.16,0.66,0.58,0.11,0.03,Doylestown,PA,Middle Atlantic
Dr Ramon E Betances Hospital-Mayaguez Medical Center Program,0.34,0.06,0.23,0.13,0.19,0,0.14,0.04,Mayaguez,PR,South Atlantic
Duke University Hospital Program,0.41,0.05,0.44,0.09,0.17,0.03,0.01,0,Durham,NC,South Atlantic
Duke University Hospital Rural Program,0.29,0.09,0.65,0.06,0.29,0.16,0,0,Oxford,NC,South Atlantic
Dwight David Eisenhower Army Medical Center Program,-,-,-,-,-,-,-,-,Fort Eisenhower,GA,South Atlantic
"East Central Mississippi Health Network, Inc. Program",-,-,-,-,-,-,-,-,Meridian,MS,East South Central
East Jefferson General Hospital Program,0.65,0.34,0.8,0.29,0.67,0.47,0.17,0,Metairie,LA,West South Central
East Liverpool City Hospital Program,0.19,0.09,0.87,0.08,0.37,0.37,0.06,0.06,East Liverpool,OH,East North Central
East Tennessee State University/Quillen College of Medicine (Bristol) Program,0.68,0.31,0.9,0.28,0.62,0.65,0.1,0,Bristol,TN,East South Central
East Tennessee State University/Quillen College of Medicine (Kingsport) Program,0.69,0.35,0.84,0.32,0.54,0.63,0.07,0,Kingsport,TN,East South Central
East Tennessee State University/Quillen College of Medicine Program,0.69,0.23,0.94,0.21,0.59,0.61,0.07,0.01,Johnson City,TN,East South Central
Eastern Connecticut Health Network Program,-,-,0.67,0.28,0.63,0.45,0,0,Manchester,CT,New England
Eastern Maine Medical Center Program,0.33,0.19,0.89,0.2,0.69,0.57,0.09,0.09,Bangor,ME,New England
Eastern Virginia Medical School Program,0.51,0.1,0.6,0.09,0.46,0.2,0.04,0.02,Norfolk,VA,South Atlantic
ECU Health Medical Center Program,0.81,0.58,0.88,0.57,0.58,0.66,0.5,0.64,Greenville,NC,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.46,0.26,0.68,0.24,0.55,0.46,0.1,0.05,Greenville,NC,South Atlantic
Eisenhower Medical Center Program,0.25,0.23,0.47,0.19,0.36,0.44,0.12,0,Rancho Mirage,CA,Pacific
Ellis Hospital of Schenectady Program,-,-,0.46,0.09,0.43,0.38,0.08,0.05,Schenectady,NY,Middle Atlantic
"Elson S Floyd College of Medicine, Washington State University Program",0.29,0.12,0.65,0.11,0.48,0.36,0.05,0.04,Pullman,WA,Pacific
Emanate Health Program,-,-,0.25,0.17,0.43,0.15,0.15,0,West Covina,CA,Pacific
Emory University School of Medicine Program,0.29,0.05,0.6,0.07,0.35,0.12,0.01,0,Dunwoody,GA,South Atlantic
Fairfield Medical Center Program,0.73,0.27,0.88,0.23,0.16,0.56,0.03,0,Lancaster,OH,East North Central
Family Health Centers of San Diego Program,0.42,0.11,0.29,0.12,0.28,0.14,0.02,0,San Diego,CA,Pacific
Firelands Regional Medical Center Program,0.75,0.42,0.94,0.36,0.64,0.58,0.06,0,Sandusky,OH,East North Central
Florida State University College of Medicine Program,0.3,0.15,0.58,0.12,0.35,0.31,0.09,0,Winter Haven,FL,South Atlantic
Florida State University College of Medicine/Lee Memorial Health System Program,0.37,0.13,0.53,0.12,0.42,0.29,0.06,0.08,Ft Myers,FL,South Atlantic
Forrest General Hospital Program,0.47,0.26,0.74,0.22,0.37,0.6,0.12,0,Hattiesburg,MS,East South Central
Fort Wayne Medical Education Program,0.64,0.26,0.75,0.24,0.6,0.41,0.13,0,Fort Wayne,IN,East North Central
Franciscan Health Indianapolis Program,0.8,0.09,0.86,0.11,0.36,0.25,0,0.01,Indianapolis,IN,East North Central
Full Circle Health/Family Medicine Residency of Idaho (Boise) Program,0.65,0.28,0.38,0.35,0.6,0.29,0.04,0,Boise,ID,Mountain
Full Circle Health/Family Medicine Residency of Idaho (Caldwell) Program,0.83,0.27,0.62,0.3,0.58,0.37,0.06,0,Boise,ID,Mountain
Full Circle Health/Family Medicine Residency of Idaho (Magic Valley) Program,0.7,0.12,0.4,0.16,0.37,0.26,0.01,0,Boise,ID,Mountain
Full Circle Health/Family Medicine Residency of Idaho (Nampa) Program,0.62,0.18,0.55,0.2,0.62,0.34,0.1,0.03,Nampa,ID,Mountain
Garden City Hospital Program,-,-,-,-,-,-,-,-,Garden City,MI,East North Central
Garnet Health Medical Center Program,-,-,0.49,0.1,0.61,0.41,0.02,0,Middletown,NY,Middle Atlantic
Geisinger Health System (Lewistown) Program,0.19,0.05,0.39,0.05,0.56,0.21,0.02,0.04,Lewistown,PA,Middle Atlantic
Geisinger Health System (Wilkes-Barre) Program,0.21,0.22,0.62,0.18,0.5,0.58,0.09,0,Wilkes Barre,PA,Middle Atlantic
Genesis Health System (Quad Cities) Program,0.73,0.17,0.82,0.17,0.47,0.29,0.09,0.08,Davenport,IA,West North Central
Good Samaritan University Hospital Program,0.5,0.12,0.54,0.12,0.24,0.48,0.06,0.01,West Islip,NY,Middle Atlantic
Good Samaritan University Hospital/St Joseph Hospital Campus Program,-,-,0.45,0.29,0.17,0.43,0.25,0.35,Bethpage,NY,Middle Atlantic
Greater Lawrence Family Health Center Program,0.59,0.41,0.96,0.41,0.82,0.52,0.07,0.13,Lawrence,MA,New England
Gundersen Lutheran Medical Foundation Program,0.73,0.33,0.85,0.35,0.76,0.5,0.05,0.01,La Crosse,WI,East North Central
Hackensack University Medical Center (Mountainside) Program,0.33,0.21,0.55,0.21,0.38,0.37,0.2,0,Verona,NJ,Middle Atlantic
Hackensack University Medical Center (Palisades) Program,0.15,0.08,0.33,0.08,0.23,0.13,0.07,0.08,North Bergen,NJ,Middle Atlantic
Halifax Medical Center Program,0.57,0.17,0.6,0.15,0.57,0.22,0,0,Daytona Beach,FL,South Atlantic
Hamilton Medical Center Program,0.42,0.11,0.6,0.13,0.39,0.43,0.06,0.1,Dalton,GA,South Atlantic
Hawaii Health Systems Corporation - Hilo Medical Center Program,-,-,-,-,-,-,-,-,Hilo,HI,Pacific
HCA Florida Healthcare/St. Lucie Hospital Program,-,-,-,-,-,-,-,-,St. Lucie,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Oak Hill Hospital Program,-,-,-,-,-,-,-,-,Brooksville,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME St Petersburg Hospital Program,0.23,0.09,0.46,0.08,0.18,0.21,0.06,0.02,St Petersburg,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.13,0.07,0.45,0.06,0.28,0.27,0.03,0.01,Orange Park,FL,South Atlantic
HCA Healthcare Kansas City/Lee's Summit Medical Center Program,-,-,-,-,-,-,-,-,Leeâ€™s Summit,MO,West North Central
HCA Healthcare Kansas City/Research Medical Center Program,-,-,-,-,-,-,-,-,Kansas City,MO,West North Central
HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,-,-,0.72,0.25,0.27,0.61,0.05,0,Blacksburg,VA,South Atlantic
HCA Healthcare LewisGale Medical Center Program,0.32,0.19,0.81,0.13,0.42,0.5,0.05,0,Roanoke,VA,South Atlantic
HCA Healthcare Riverside Program,0.42,0.11,0.31,0.09,0.26,0.16,0.08,0,Riverside,CA,Pacific
HCA Healthcare Sunrise Health GME/Southern Hills Program,0.26,0.09,0.83,0.06,0.25,0.22,0.04,0,Las Vegas,NV,Mountain
HCA Healthcare/Eastern Idaho Regional Medical Center Program,-,-,-,-,-,-,-,-,Idaho Falls,ID,Mountain
HCA Healthcare/Mercer University School of Medicine Program,0.18,0.14,0.44,0.14,0.36,0.39,0.09,0.08,Savannah,GA,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,0.47,0.15,0.85,0.15,0.25,0.47,0.08,0.04,Myrtle Beach,SC,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,0.58,0.17,0.74,0.17,0.37,0.35,0.04,0,Savannah,GA,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Summerville Medical Center Program,-,-,0.83,0.25,0.47,0.54,0.14,0.27,Summerville,SC,South Atlantic
HCA Healthcare/TriStar Nashville Program,0.51,0.28,0.67,0.28,0.64,0.43,0.09,0.04,Nashville,TN,East South Central
HCA Healthcare/Tufts University School of Medicine: Portsmouth Regional Hospital Program,0.38,0.18,-,0.19,0.53,0.47,0.15,0.03,Portsmouth,NH,New England
HCA HealthOne/Swedish Medical Center Program,-,-,-,-,-,-,-,-,ENGLEWOOD,CO,Mountain
HCA HealthONE/The Medical Center of Aurora Program,0.41,0.12,0.53,0.13,0.18,0.18,0,0,Aurora,CO,Mountain
