Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of Minnesota Program,-,-,-,-,-,-,-,-,-,Minneapolis,MN,West North Central
University of Mississippi Medical Center Program,0.55,0.59,0.02,0.67,0.08,0.13,0.07,0.03,0.04,Jackson,MS,East South Central
University of Missouri-Columbia Program,0.2,0.57,0.01,0.23,0.03,0.05,0.04,0.01,0,Columbia,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.27,0.87,0.01,0.44,0.05,0.08,0.12,0.02,0.03,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,0.59,0.74,0.01,0.79,0.13,0.22,0.11,0,0.02,Omaha,NE,West North Central
University of New Mexico School of Medicine Program,0.32,0.49,0,0.64,0.07,0.09,0.1,0.05,0.03,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.07,0.56,0,0.58,0.07,0.11,0.03,0,0,Chapel Hill,NC,South Atlantic
University of Oklahoma Health Sciences Center Program,0.44,0.66,0.03,0.96,0.1,0.17,0.08,0,0,Oklahoma City,OK,West South Central
University of Pennsylvania Health System Program,0.45,0.68,0.02,0.38,0.14,0.21,0.03,0,0.01,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.43,0.71,0.02,0.26,0.09,0.17,0.04,0.02,0.04,Rochester,NY,Middle Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,0.41,0.85,0.03,0.51,0.15,0.26,0.08,0.06,0,Los Angeles,CA,Pacific
University of Tennessee College of Medicine Program,0.41,0.49,0.01,0.44,0.04,0.06,0.05,0.04,0.05,Memphis,TN,East South Central
University of Tennessee Medical Center at Knoxville Program,0.68,0.83,0,0.47,0.13,0.21,0.07,0,0,Knoxville,TN,East South Central
University of Texas Health Science Center at Houston Program,0.18,0.49,0.05,0.55,0.09,0.19,0.11,0.03,0.04,Houston,TX,West South Central
University of Texas Health Science Center at Tyler Program,0.63,0.62,0.01,0.39,0.06,0.11,0.15,0.01,0.02,Tyler,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,-,-,-,-,-,-,-,-,-,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.31,0.65,0.07,0.7,0.09,0.26,0.11,0,0,Galveston,TX,West South Central
University of Texas Southwestern Medical Center Program,0.51,0.63,0.04,0.65,0.14,0.28,0.02,0,0.02,Dallas,TX,West South Central
University of Toledo Program,0.1,0.21,0.03,0.26,0.03,0.09,0.01,0.02,0,Toledo,OH,East North Central
University of Utah Health Program,0.26,0.63,0.01,1,0.11,0.17,0.06,0.03,0.02,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,0.54,0.89,0.01,1,0.08,0.12,0.08,0.01,0,Burlington,VT,New England
University of Virginia Medical Center Program,0.25,0.55,0.03,0.51,0.1,0.16,0.01,0.01,0,Charlottesville,VA,South Atlantic
University of Washington Program,0.32,0.71,0,0.83,0.13,0.2,0.04,0.07,0.05,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,0.41,0.09,0.01,0.46,0.08,0.12,0.05,0.03,0.03,Madison,WI,East North Central
UPMC Medical Education Program,0.28,0.59,0.01,0.27,0.09,0.17,0.02,0.01,0.02,Pittsburgh,PA,Middle Atlantic
UPMC Medical Education/Lititz Program,0.25,0.58,0.04,0.18,0.08,0,0.14,0,0,Lititz,PA,Middle Atlantic
Vanderbilt University Medical Center Program,0.26,0.47,0,0.35,0.11,0.16,0.05,0,0,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.3,0.75,0,0.61,0.07,0.12,0.09,0.03,0.01,Richmond,VA,South Atlantic
Virginia Mason Franciscan Health Program,0.07,0.52,0,0.44,0.05,0.08,0.04,0.01,0,Seattle,WA,Pacific
Wake Forest University Baptist Medical Center Program,0.26,0.41,0.01,0.55,0.08,0.11,0.07,0,0,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.51,0.57,0.04,0.41,0.14,0.22,0.09,0.02,0.01,St Louis,MO,West North Central
Wayne State University School of Medicine Program,0.19,0.34,0.01,0.35,0.03,0.04,0.07,0.07,0.03,Pontiac,MI,East North Central
West Virginia University Program,0.34,0.6,0.02,0.81,0.07,0.1,0.11,0.02,0,Morgantown,WV,South Atlantic
Westchester Medical Center Program,0.44,0.42,0.07,0.39,0.1,0.25,0.07,0,0.03,Valhalla,NY,Middle Atlantic
Yale-New Haven Medical Center Program,0.35,0.66,0.01,0.6,0.14,0.19,0.03,0.06,0.03,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell Program,0.46,0.52,0.04,0.45,0.07,0.21,0.09,0.02,0,Manhasset,NY,Middle Atlantic
