Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Rutgers Health/New Jersey Medical School Program,0.71,0.18,1,0.18,0.31,0.3,0,0.2,Newark,NJ,Middle Atlantic
"Sidney Kimmel Medical College at Thomas Jefferson University/Nemours Children's Health, Wilmington Program",0.67,0.49,-,0.5,0.83,0.67,0,0.13,Wilmington,DE,South Atlantic
SSM Health/Saint Louis University School of Medicine Program,-,-,1,0.67,0.86,0.75,0.4,0.57,St. Louis,MO,West North Central
Stanford Health Care-Sponsored Stanford University Program,0.73,0.29,0.41,0.34,0.46,0,0,0,Palo Alto,CA,Pacific
Stony Brook Medicine/University Hospital Program,-,-,-,-,-,-,-,-,Stony Brook,NY,Middle Atlantic
SUNY Downstate Health Sciences University Program,0.43,0.35,0.44,0.36,0.31,0.27,0.24,0.52,Brooklyn,NY,Middle Atlantic
Tower Health Program,-,-,-,-,-,-,-,-,Philadelphia,PA,Middle Atlantic
UCLA David Geffen School of Medicine/UCLA Medical Center Program,0.7,0.34,0.75,0.31,0.55,0,0,0,Los Angeles,CA,Pacific
University at Buffalo Program,0.27,0.18,0.63,0.15,0.3,0.57,0.09,0.03,Buffalo,NY,Middle Atlantic
University of Alabama Medical Center Program,0.83,0.37,1,0.41,0.83,0.75,0,0,Birmingham,AL,East South Central
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0.2,0.16,1,0.15,0.38,0.45,0,0.08,Little Rock,AR,West South Central
University of California (Irvine) Program,0.88,0.45,0.93,0.41,0.81,0.29,0.06,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,-,-,-,-,-,-,-,-,La Jolla,CA,Pacific
University of California (San Francisco) Program,0.59,0.21,0.56,0.24,0.42,0,0,0,San Francisco,CA,Pacific
University of California Davis Health Program,-,-,-,-,-,-,-,-,Sacramento,CA,Pacific
University of Chicago Program,0.31,0.27,1,0.26,0.45,0.09,0.06,0.12,Chicago,IL,East North Central
University of Colorado Program,0.72,0.2,1,0.27,0.43,0.04,0,0.05,Aurora,CO,Mountain
University of Florida College of Medicine Program,0.6,0.31,0.75,0.31,0.69,0.45,0.08,0.12,Gainesville,FL,South Atlantic
University of Iowa Hospitals and Clinics Program,0.83,0.29,1,0.31,0.78,0.2,0,0.13,Iowa City,IA,West North Central
University of Kentucky College of Medicine Program,0.27,0.41,1,0.35,0.72,0.4,0.05,0.27,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.7,0.58,1,0.55,0.89,0.72,0.27,0.29,Louisville,KY,East South Central
University of Michigan Program,0.67,0.35,0.83,0.37,0.6,0.29,0,0,Ann Arbor,MI,East North Central
University of Mississippi Medical Center Program,-,-,-,-,-,-,-,-,Jackson,MS,East South Central
University of New Mexico School of Medicine Program,0.75,0.51,1,0.52,0.92,0.92,0,0,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.82,0.36,1,0.38,0.54,0.46,0,0,Chapel Hill,NC,South Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.44,0.37,0.83,0.33,0.7,0.5,0.05,0.1,Rochester,NY,Middle Atlantic
University of Tennessee Program,0,0.46,1,0.44,0.84,0.63,0,0,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,0.7,0.39,0.64,0.39,0.64,0.27,0.06,0.27,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.19,0.4,0.67,0.35,0.8,0.15,0,0.05,Houston,TX,West South Central
University of Texas Southwestern Medical Center Program,0.52,0.6,0.83,0.56,0.92,0,0.31,0.48,Dallas,TX,West South Central
University of Utah Health Program,0.75,0.26,1,0.28,0.52,0.14,0,0.04,Salt Lake City,UT,Mountain
University of Virginia Medical Center Program,0.63,0.31,0.83,0.3,0.61,0.17,0,0.03,Charlottesville,VA,South Atlantic
University of Washington Program,0.81,0.29,1,0.34,0.51,0.3,0,0,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,-,-,-,-,-,-,-,-,Madison,WI,East North Central
UPMC Medical Education Program,0.43,0.21,0.45,0.22,0.42,0.13,0.04,0.07,Pittsburgh,PA,Middle Atlantic
Vanderbilt University Medical Center Program,-,-,-,-,-,-,-,-,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,-,-,0.6,0.35,0.57,0.37,0.13,0.04,Richmond,VA,South Atlantic
Wake Forest University Baptist Medical Center Program,0.75,0.42,1,0.43,0.77,0.39,0.05,0.06,Winston Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.42,0.44,0.5,0.43,0.81,0.27,0,0.1,St. Louis,MO,West North Central
Yale-New Haven Hospital Program,0.83,0.3,1,0.32,0.36,0.33,0.2,0.31,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center Program,0.2,0.45,0.93,0.37,0.89,0.67,0,0.03,Lake Success,NY,Middle Atlanti
