Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Florida State University College of Medicine (Tallahassee) Program,0.32,0.04,0.18,0.15,0.06,0.01,Tallahassee,FL,South Atlantic
Florida State University College of Medicine Program,0.21,0.04,0.12,0.17,0.08,0.02,Cape Coral,FL,South Atlantic
Flushing Hospital Medical Center Program,0.3,0.17,0.3,0.26,0.18,0.08,Flushing,NY,Middle Atlantic
Franciscan Health Olympia Fields Program,0.63,0.11,0.24,0.27,0.07,0.09,Olympia Fields,IL,East North Central
Garden City Hospital Program,-,-,-,-,-,-,Garden City,MI,East North Central
Garnet Health Medical Center Program,0.34,0.08,0.04,0.28,0.06,0.03,Middletown,NY,Middle Atlantic
Geisinger Health System (Danville) Program,0.49,0.05,0.35,0.26,0.03,0.01,Danville,PA,Middle Atlantic
Geisinger Health System (Wilkes-Barre) Program,0.39,0.02,0.12,0.14,0.01,0.02,Wilkes-Barre,PA,Middle Atlantic
George Washington University Program,0.4,0.07,0.15,0.06,0.01,0.01,Washington,DC,South Atlantic
Greater Baltimore Medical Center Program,0.49,0.06,0.25,0.15,0.09,0.03,Baltimore,MD,South Atlantic
Greenwich Hospital/Yale University Program,0.34,0.07,0.26,0.13,0.01,0,Greenwich,CT,New England
Griffin Hospital Program,0.68,0.03,0.16,0.02,0.03,0.03,Derby,CT,New England
Gundersen Lutheran Medical Foundation Program,0.81,0.14,0.63,0.24,0.04,0.01,La Crosse,WI,East North Central
Hackensack University Medical Center (Mountainside) Program,0.04,0.03,0.02,0.01,0.04,0.02,Montclair,NJ,Middle Atlantic
Hackensack University Medical Center (Palisades) Program,0.41,0.05,0.26,0.22,0.07,0.01,North Bergen,NJ,Middle Atlantic
Hackensack University Medical Center Program,0.32,0.03,0.1,0.06,0.04,0.01,Hackensack,NJ,Middle Atlantic
Hackensack University Medical Center/Englewood Hospital and Medical Center Program,-,-,-,-,-,-,Englewood,NJ,Middle Atlantic
Hamilton Medical Center Program,0.62,0.04,0.38,0.34,0.04,0.02,Dalton,GA,South Atlantic
Harlem Hospital Center Program,0.01,0.04,0.01,0,0.03,0.04,New York,NY,Middle Atlantic
HCA Florida Healthcare/Aventura Hospital Program,0.71,0.05,0.55,0.22,0.06,0.01,Aventura,FL,South Atlantic
HCA Florida Healthcare/Kendall Hospital Program,0.48,0.05,0.28,0.22,0.04,0.01,Miami,FL,South Atlantic
HCA Florida Healthcare/Lawnwood Hospital Program,-,-,-,-,-,-,Fort Pierce,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Bayonet Point Hospital Program,0.72,0.09,0.28,0.33,0.08,0.01,Hudson,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Blake Hospital Program,-,-,-,-,-,-,Bradenton,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Brandon Hospital Program,0.31,0.1,0.18,0.18,0.09,0.08,Brandon,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Citrus Hospital Program,0.12,0.1,0.08,0.1,0.12,0.07,Inverness,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,-,-,-,-,-,-,Largo,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Northside Hospital Program,-,-,-,-,-,-,St Petersburg,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Oak Hill Hospital Program,0.12,0.05,0.08,0.1,0.07,0.02,Brooksville,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Sarasota Doctors Hospital Program,0.36,0.05,0.17,0.38,0,0,Sarasota,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Trinity Hospital Program,0.05,0.02,0.02,0.04,0.03,0,Trinity,FL,South Atlantic
HCA Florida Healthcare/Westside/Northwest Hospital Program,0.55,0.11,0.32,0.3,0.12,0.06,Plantation,FL,South Atlantic
HCA Florida JFK Hospital/University of Miami Miller School of Medicine GME Consortium Program,0.5,0.04,0.5,0.23,0.03,0,Atlantis,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.53,0.05,0.35,0.36,0.1,0.01,Orange Park,FL,South Atlantic
HCA Healthcare Corpus Christi Medical Center - Bay Area Program,0.31,0.05,0.16,0.26,0.02,0,Corpus Christi,TX,West South Central
HCA Healthcare Kansas City/Overland Park Regional Medical Center Program,0.43,0.12,0.38,0.45,0.05,0.04,Overland Park,KS,West North Central
HCA Healthcare Las Palmas Del Sol Program,0.41,0.08,0.25,0.24,0.08,0,El Paso,TX,West South Central
HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,0.74,0.12,0.13,0.4,0.05,0.02,Blacksburg,VA,South Atlantic
HCA Healthcare LewisGale Medical Center Program,0.6,0.08,0.15,0.28,0.06,0.01,Salem,VA,South Atlantic
HCA Healthcare Riverside Program,0.44,0.17,0.35,0.33,0.09,0.01,Riverside,CA,Pacific
HCA Healthcare Sunrise Health GME/MountainView Program,0.04,0.04,0.07,0.14,0.01,0,Las Vegas,NV,Mountain
HCA Healthcare/Eastern Idaho Regional Medical Center Program,0.44,0.17,0.28,0.44,0.1,0,Idaho Falls,ID,Mountain
HCA Healthcare/Los Robles Regional Medical Center Program,0.19,0.14,0.19,0.14,0.16,0.02,Thousand Oaks,CA,Pacific
HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,0.81,0.09,0.36,0.16,0.03,0.03,Myrtle Beach,SC,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,0.72,0.08,0.37,0.15,0.02,0.02,Savannah,GA,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Trident Medical Center Program,0.5,0.1,0.3,0.18,0.13,0.01,North Charleston,SC,South Atlantic
HCA Healthcare/TriStar Nashville/Centennial Medical Center Program,-,-,-,-,-,-,Nashville,TN,East South Central
HCA Healthcare/Tufts University School of Medicine: Portsmouth Regional Hospital Program,-,-,-,-,-,-,Portsmouth,NH,New England
HCA HealthONE/Sky Ridge Medical Center Program,-,-,-,-,-,-,Lone Tree,CO,Mountain
HCA Houston Healthcare/University of Houston (Kingwood) Program,-,-,-,-,-,-,Kingwood,TX,West South Central
HCA Houston Healthcare/University of Houston Program,0.84,0.14,0.78,0.46,0.14,0.08,Webster,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Arlington) Program,0.03,0.12,0.03,0.02,0.16,0.12,Arlington,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,0.64,0.1,0.33,0.28,0.12,0.03,Fort Worth,TX,West South Central
Health Education Services Program,-,0.06,0.09,0.04,0.02,0.07,Valparaiso,IN,East North Central
Health Education Services/Crestwood Medical Center Program,0.85,0.03,0.23,0.39,0.02,0.02,Huntsville,AL,East South Central
Health Education Services/North Knoxville Medical Center Program,0.65,0.06,0.36,0.42,0.09,0.02,Powell,TN,East South Central
Health Education Services/Northwest Healthcare (Tucson) Program,0.54,0.03,0.17,0.3,0.02,0.01,Tucson,AZ,Mountain
Health Education Services/Poplar Bluff Regional Medical Center Program,0.93,0.03,0.29,0.27,0.05,0,Poplar Bluff,MO,West North Central
Hennepin Healthcare Program,-,-,-,-,-,-,Minneapolis,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.73,0.05,0.28,0.16,0.03,0.02,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Jackson Hospital Program,0.25,0.01,0.15,0.08,0.01,0.01,Jackson,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,0.4,0.11,0.27,0.21,0.15,0.06,Clinton Township,MI,East North Central
HES/Mountain View Regional Medical Center Program,0.69,0.09,0.11,0.28,0.04,0.03,Las Cruces,NM,Mountain
HonorHealth Program,0.48,0.12,0.24,0.19,0.03,0,Scottsdale,AZ,Mountain
Hospital de la Concepcion Program,0.17,0.09,0.16,0,0.1,0.04,San German,PR,South Atlantic
Hospital Episcopal San Lucas/Ponce School of Medicine Program,0.33,0.05,0.31,0,0.07,0,Ponce,PR,South Atlantic
Howard University Program,0.58,0.06,0.26,0.09,0.04,0.04,Washington,DC,South Atlantic
Huntington Memorial Hospital Program,0.13,0.1,0.16,0.06,0.04,0.02,Pasadena,CA,Pacific
Hurley Medical Center/Michigan State University Program,0.48,0.06,0.3,0.26,0.19,0.01,Flint,MI,East North Central
Icahn School of Medicine at Mount Sinai/Beth Israel Program,-,-,-,-,-,-,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Morningside/West Program,0.33,0.06,0.22,0.14,0.04,0.03,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,0.32,0.11,0.3,0,0,0,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/NYC Health and Hospitals (Elmhurst) Program,0.26,0.06,0.22,0.17,0.07,0.04,Elmhurst,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/NYC Health and Hospitals (Queens) Program,0.46,0.06,0.13,0.32,0.11,0.04,Jamaica,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/South Nassau Program,0.3,0.05,0.25,0.14,0.03,0,Oceanside,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Valley Health Program,0.63,0.1,0.72,0.38,0.09,0.04,Ridgewood,NJ,Middle Atlantic
Indiana University School of Medicine (Southwest Indiana) Program,0.83,0.15,0.71,0.61,0.16,0.05,Evansville,IN,East North Central
Indiana University School of Medicine Program,0.65,0.09,0.27,0.09,0.04,0.02,Indianapolis,IN,East North Central
Indiana University School of Medicine/Ball Memorial Program,0.78,0.05,0.39,0.26,0.09,0.01,Muncie,IN,East North Central
Inova Fairfax Medical Campus Program,0.39,0.07,0.27,0.07,0.01,0.01,Falls Church,VA,South Atlantic
Insight Hospital and Medical Center Chicago Program,0,0.02,0.01,0,0.02,0.02,Chicago,IL,East North Central
Inspira Health Network/Inspira Medical Center - Mullica Hill Program,0.79,0.12,0.29,0.3,0.08,0.04,Mullica Hill,NJ,Middle Atlantic
Inspira Health Network/Inspira Medical Center Vineland Program,0.45,0.07,0.1,0.21,0.04,0.06,Vineland,NJ,Middle Atlantic
Jacobi Medical Center/Albert Einstein College of Medicine Program,0.09,0.04,0.05,0,0.02,0.05,Bronx,NY,Middle Atlantic
Jacobi Medical Center/North Central Bronx Hospital Program,0,0.02,0,0,0.03,0.02,Bronx,NY,Middle Atlantic
Jamaica Hospital Medical Center Program,0.12,0.1,0,0.1,0.14,0.04,Jamaica,NY,Middle Atlantic
Jefferson Health New Jersey Program,0.7,0.16,0,0.34,0,0,Stratford,NJ,Middle Atlantic
Jefferson Health Northeast Program,0.3,0.03,0.02,0.18,0,0,Philadelphia,PA,Middle Atlantic
Jersey Shore University Medical Center Program,0.4,0.04,0.18,0.19,0.06,0.02,Neptune,NJ,Middle Atlantic
Jewish Hospital of Cincinnati Program,0.2,0.02,0.13,0.06,0.02,0.01,Cincinnati,OH,East North Central
JFK Medical Center/Raritan Bay Medical Center Program,0.21,0.1,0.14,0,0.12,0.08,Perth Amboy,NJ,Middle Atlantic
Johns Hopkins University Program,0.35,0.08,0.15,0,0,0.01,Baltimore,MD,South Atlantic
Johns Hopkins University/Bayview Medical Center Program,0.6,0.07,0.18,0.01,0,0,Baltimore,MD,South Atlantic
Johnston Memorial Hospital Program,0.45,0.02,0.02,0.26,0.01,0.01,Abingdon,VA,South Atlantic
Kaiser Permanente Hawaii Program,0.95,0.2,0.44,0.4,0.02,0,Honolulu,HI,Pacific
Kaiser Permanente Mid-Atlantic States Program,0.8,0.13,0.56,0.16,0.02,0,Gaithersburg,MD,South Atlantic
Kaiser Permanente Northern California (Oakland) Program,0.31,0.15,0.31,0.01,0,0,Oakland,CA,Pacific
Kaiser Permanente Northern California (San Francisco) Program,0.22,0.11,0.23,0,0,0,San Francisco,CA,Pacific
Kaiser Permanente Northern California (Santa Clara) Program,0.38,0.14,0.34,0.07,0,0,Santa Clara,CA,Pacific
Kaiser Permanente Southern California (Inland Empire) Program,0.2,0.06,0.17,0.07,0.05,0.01,Fontana,CA,Pacific
Kaiser Permanente Southern California (Los Angeles) Program,0.21,0.07,0.16,0.02,0,0,Los Angeles,CA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium)/Freeman Program,0.73,0.17,0.3,0.55,0,0,Joplin,MO,West North Central
Keesler Medical Center Program,-,-,-,-,-,-,Keesler AFB,MS,East South Central
Kent Hospital/Brown University Program,0.33,0.13,0.36,0.56,0.01,0.02,Warwick,RI,New England
Kern Medical Center Program,0.13,0.08,0.02,0.13,0.13,0.03,Bakersfield,CA,Pacific
Kettering Health Network/Grandview Medical Center Program,0.41,0.28,0,0.42,0,0,Dayton,OH,East North Central
Kettering Health Network/Kettering Medical Center Program,0.74,0.07,0.65,0.33,0,0,Kettering,OH,East North Central
